clause,verb,phrase,cmpl_type,cmpl_func
438162,NG<[,683722,B,-
441268,NG<[,693263,>L,-
446509,NG<[,709075,B,-
449672,NG<[,718623,B,-
443075,NG<[,698746,B,-
443050,NG<[,698662,B,-
442743,NG<[,697676,B,-
451772,NG<[,724977,B,-
440174,NG<[,689891,B,-
440170,NG<[,689880,B,-
466700,NG<[,769631,B,-
439435,NG<[,687632,B,-
439403,NG<[,687528,B,-
438945,NG<[,686070,B,-
438792,NG<[,685648,B,-
438441,NG<[,684530,B,-
438431,NG<[,684502,B,-
438348,NG<[,684275,B,-
438316,NG<[,684198,B,-
438158,NG<[,683710,B,-
458480,NG<[,745386,B,?
435636,NG<[,675896,B,-
459528,NG<[,748625,B,-
461998,NG<[,755949,B,-
460906,NG<[,752732,B,-
429307,NG<[,656940,>L,-
453047,NPL[,728915,B,-
460744,NPL[,752311,B,-
461080,NPL[,753193,B,-
461082,NPL[,753198,B,-
458065,NPL[,744109,B,-
442856,NTN[,698025,>L,DIR
445963,NTN[,707431,>L,DIR
445968,NTN[,707449,>L,DIR
443193,NTN[,699140,B,-
443320,NTN[,699503,B,-
445567,NTN[,706286,>L,DIR
445812,NTN[,706995,B,-
446966,NTN[,710518,B,DIR
447071,NTN[,710813,B,-
444970,NTN[,704492,B,-
445150,NTN[,705020,B,-
445178,NTN[,705102,B,-
445210,NTN[,705188,B,-
445214,NTN[,705203,B,-
446068,NTN[,707749,>L,DIR
432109,NTN[,665289,B,DIR
436217,NTN[,677705,>L,DIR
466572,NTN[,769235,<L,DIR
466584,NTN[,769277,<L,DIR
434676,NTN[,672937,B,DIR
447145,NTN[,711042,B,-
436109,NTN[,677364,B,-
436099,NTN[,677328,>L,?
434087,NTN[,671107,B,?
432057,NTN[,665121,B,-
436233,NTN[,677759,>L,DIR
430281,NTN[,659855,B,DIR
430823,NTN[,661478,B,DIR
431142,NTN[,662449,B,DIR
431967,NTN[,664862,B,-
431989,NTN[,664935,B,-
446396,NTN[,708753,>L,-
467736,NTN[,772820,<L,?
467755,NTN[,772882,<L,DIR
451351,NTN[,723748,B,-
458513,NTN[,745495,B,-
450982,NTN[,722554,B,-
448940,NTN[,716350,B,-
450997,NTN[,722600,B,-
451103,NTN[,722935,B,-
456934,NTN[,740674,B,-
455554,NTN[,736504,B,-
453045,NTN[,728907,B,-
453018,NTN[,728830,B,-
451110,NTN[,722962,B,-
453010,NTN[,728809,B,-
451271,NTN[,723494,B,-
451317,NTN[,723639,B,-
464574,NTN[,763589,B,-
451431,NTN[,723995,B,-
451466,NTN[,724120,B,-
467095,NTN[,770896,B,-
