,clause,verb,phrase,cmpl_type,cmpl_func
444906,444906,FJM[,704309,B,-
444949,444949,<LH[,704431,B,DIR
444951,444951,JVB[,704437,B,-
444970,444970,NTN[,704492,B,-
444996,444996,HLK[,704565,B,LOC
445008,445008,DRK[,704595,B,LOC
445050,445050,JCB[,704709,B,LOC
445057,445057,CM<[,704731,B,-
445059,445059,JCB[,704738,B,LOC
445072,445072,<BR[,704774,B,LOC
445073,445073,JCB[,704777,B,LOC
445089,445089,JCB[,704830,B,LOC
445097,445097,JCB[,704862,B,LOC
445100,445100,JCB[,704874,B,LOC
445130,445130,JCB[,704967,B,LOC
445137,445137,JCB[,704989,B,LOC
445142,445142,JCB[,705004,B,LOC
445150,445150,NTN[,705020,B,-
445161,445161,<BR[,705049,B,LOC
445162,445162,HLK[,705050,B,LOC
445170,445170,JCB[,705076,B,LOC
445171,445171,JCB[,705079,B,LOC
445178,445178,NTN[,705102,B,-
445210,445210,NTN[,705188,B,-
445213,445213,JCB[,705199,B,LOC
445214,445214,NTN[,705203,B,-
445253,445253,JCB[,705332,B,LOC
445292,445292,R>H[,705440,B,-
445300,445300,JCB[,705465,B,LOC
445361,445361,B<R[,705637,B,-
445382,445382,<WP[,705704,B,LOC
445383,445383,RMF[,705706,B,LOC
445439,445439,CM<[,705879,B,-
445468,445468,BXR[,705970,B,-
445498,445498,JCB[,706067,B,LOC
445509,445509,DBR[,706096,B,-
445521,445521,<LH[,706139,B,DIR
445560,445560,<NH[,706260,B,-
445570,445570,B<R[,706294,B,-
445622,445622,HLK[,706435,B,LOC
445654,445654,JCB[,706523,B,LOC
445655,445655,HLK[,706526,B,LOC
445682,445682,XRH[,706601,B,-
445702,445702,NTN[,706664,B,?
445732,445732,XRH[,706755,B,-
445738,445738,FRP[,706774,B,-
445743,445743,XCQ[,706793,B,-
445745,445745,BXR[,706796,B,-
445781,445781,FJM[,706899,B,-
445782,445782,NTN[,706902,B,-
445788,445788,>MR[,706924,B,?
445812,445812,NTN[,706995,B,-
445816,445816,FRP[,707008,B,-
445856,445856,HLK[,707126,B,LOC
445859,445859,JY>[,707135,B,DIR
445894,445894,>MR[,707234,B,-
445913,445913,CM<[,707286,B,-
445933,445933,>MR[,707336,B,-
445960,445960,JCB[,707419,B,LOC
445964,445964,KTB[,707434,B,-
445988,445988,B<R[,707506,B,-
445996,445996,TPF[,707528,B,-
446015,446015,FRP[,707587,B,-
446029,446029,CM<[,707631,B,-
446040,446040,PDH[,707660,B,-
446061,446061,FJM[,707721,B,DIR
446071,446071,FJM[,707758,B,DIR
446090,446090,<MD[,707817,B,LOC
446106,446106,HLK[,707858,B,LOC
446131,446131,DBQ[,707929,B,-
446200,446200,XRH[,708142,B,-
446211,446211,JCB[,708183,B,LOC
446212,446212,HLK[,708186,B,LOC
446223,446223,HLK[,708217,B,LOC
446224,446224,DBQ[,708220,B,-
446229,446229,DRK[,708235,B,LOC
446233,446233,DRK[,708251,B,LOC
446253,446253,JCB[,708313,B,LOC
446259,446259,JCB[,708330,B,LOC
446274,446274,FRP[,708378,B,-
446285,446285,FMX[,708414,B,-
446294,446294,JCB[,708446,B,LOC
446300,446300,BXR[,708464,B,-
446312,446312,BXR[,708502,B,-
446326,446326,BXR[,708546,B,-
446328,446328,FMX[,708553,B,-
446377,446377,JCB[,708696,B,LOC
446395,446395,QWM[,708749,B,LOC
446410,446410,CM<[,708791,B,-
446412,446412,DBQ[,708797,B,-
446419,446419,HLK[,708820,B,LOC
446439,446439,SQL[,708883,B,-
446468,446468,FRP[,708958,B,-
446471,446471,DBQ[,708971,B,-
446477,446477,CM<[,708990,B,-
446509,446509,NG<[,709075,B,-
446552,446552,NTN[,709194,B,-
446553,446553,YWR[,709198,B,DIR
446555,446555,BXR[,709205,B,-
446556,446556,NTN[,709209,B,-
446588,446588,CM<[,709309,B,-
446596,446596,MCL[,709332,B,-
446597,446597,MCL[,709334,B,-
446609,446609,R<<[,709378,B,-
446640,446640,NTN[,709483,B,DIR
446643,446643,QCH[,709494,B,-
446651,446651,<BD[,709518,B,-
446685,446685,BXR[,709640,B,-
446709,446709,FMX[,709708,B,-
446757,446757,SQL[,709865,B,-
446769,446769,BXR[,709901,B,-
446798,446798,JCB[,709983,B,LOC
446803,446803,BXR[,709999,B,-
446813,446813,CWB[,710032,B,LOC
446821,446821,QR>[,710064,B,-
446882,446882,NTN[,710254,B,-
446897,446897,>MR[,710294,B,-
446910,446910,JCB[,710338,B,LOC
446924,446924,BW>[,710384,B,DIR
446952,446952,HLK[,710466,B,LOC
446966,446966,NTN[,710518,B,-
446972,446972,GBL[,710538,B,LOC
446973,446973,NXL[,710541,B,LOC
446976,446976,QWM[,710550,B,-
446980,446980,QWM[,710561,B,-
446981,446981,<NH[,710563,B,-
446987,446987,<NH[,710585,B,-
447057,447057,PQD[,710769,B,-
447071,447071,NTN[,710813,B,-
447108,447108,NPL[,710926,B,LOC
447119,447119,MCK[,710956,B,-
447125,447125,BXR[,710978,B,-
447139,447139,NTN[,711021,B,?
447145,447145,NTN[,711042,B,-
447147,447147,R>H[,711048,B,LOC
447148,447148,XCQ[,711052,B,-
447154,447154,JCB[,711072,B,LOC
447160,447160,XPY[,711092,B,-
447162,447162,MKR[,711100,B,-
447181,447181,CM<[,711157,B,-
447184,447184,TPF[,711167,B,-
447188,447188,CM<[,711180,B,-
447190,447190,RGM[,711185,B,-
447221,447221,NPL[,711283,B,DIR
447237,447237,FJM[,711342,B,?
447244,447244,XRC=[,711360,B,-
447279,447279,SQL[,711478,B,-
447292,447292,MY>[,711515,B,LOC
447295,447295,SQL[,711526,B,-
447302,447302,MY>[,711547,B,LOC
447314,447314,MY>[,711584,B,LOC
447330,447330,BW>[,711635,B,DIR
447331,447331,BW>[,711639,B,DIR
447332,447332,BW>[,711643,B,DIR
447333,447333,BW>[,711647,B,DIR
447334,447334,BW>[,711651,B,DIR
447347,447347,HJH[,711699,B,LOC
447350,447350,BW>[,711706,B,DIR
447359,447359,RXY[,711734,B,-
447368,447368,XPR=[,711760,B,-
447375,447375,R>H[,711782,B,LOC
447380,447380,BXR[,711800,B,-
447406,447406,BW>[,711880,B,DIR
447409,447409,BW>[,711891,B,DIR
447415,447415,MY>[,711913,B,-
447416,447416,MY>[,711916,B,LOC
447418,447418,NTN[,711924,B,-
447425,447425,NTN[,711945,B,-
447439,447439,JY>[,711988,B,-
447465,447465,<MD[,712060,B,LOC
447467,447467,NC>[,712067,B,-
447553,447553,JRQ[,712332,B,DIR
447592,447592,JCB[,712455,B,LOC
447596,447596,FJM[,712468,B,DIR
447630,447630,FMX[,712574,B,-
447647,447647,CM<[,712629,B,-
447660,447660,HLK[,712664,B,LOC
447662,447662,CM<[,712670,B,-
447680,447680,FJD[,712726,B,-
447690,447690,FJD[,712758,B,-
447707,447707,CM<[,712807,B,-
447716,447716,<MD[,712833,B,LOC
447774,447774,CM<[,712949,B,-
447781,447781,CM<[,712969,B,-
447801,447801,HLK[,713026,B,LOC
447826,447826,CM<[,713109,B,-
447878,447878,JCB[,713255,B,LOC
447903,447903,HJH[,713339,B,LOC
447913,447913,HJH[,713370,B,LOC
447918,447918,HLK[,713386,B,DIR
447931,447931,CM<[,713425,B,-
447934,447934,HJH[,713432,B,-
447953,447953,BVX[,713499,B,-
447962,447962,R<<[,713532,B,-
447973,447973,R<<[,713562,B,-
447981,447981,KTB[,713587,B,LOC
447986,447986,DBQ[,713603,B,-
447988,447988,KTB[,713608,B,LOC
447992,447992,CM<[,713622,B,-
448059,448059,<BR[,713836,B,-
448071,448071,JCB[,713884,B,LOC
448072,448072,<BR[,713888,B,LOC
448087,448087,HLK[,713926,B,-
448091,448091,<CN[,713940,B,-
448092,448092,RBY[,713943,B,-
448093,448093,KTB[,713947,B,LOC
448096,448096,KTB[,713961,B,LOC
448106,448106,<LH[,713989,B,LOC
448108,448108,HPK[,713995,B,-
448121,448121,XRH[,714035,B,-
448123,448123,KTB[,714041,B,LOC
448136,448136,CM<[,714081,B,-
448157,448157,CM<[,714148,B,-
448164,448164,CM<[,714172,B,-
448166,448166,KTB[,714177,B,LOC
448191,448191,HLK[,714248,B,LOC
448212,448212,BXR[,714306,B,-
448215,448215,CM<[,714313,B,-
448216,448216,DBQ[,714316,B,-
448273,448273,QR>[,714485,B,-
448309,448309,XRH[,714582,B,-
448324,448324,FJM[,714628,B,DIR
448361,448361,HJH[,714734,B,-
448415,448415,MY>[,714873,B,LOC
448505,448505,XTM[,715096,B,LOC
448519,448519,XSH[,715129,B,?
448538,448538,>XZ[,715177,B,-
448575,448575,M<L[,715296,B,-
448618,448618,FJM[,715430,B,-
448675,448675,VBL[,715569,B,DIR
448722,448722,QWM[,715718,B,LOC
448736,448736,DRK[,715760,B,LOC
448759,448759,HGH[,715823,B,-
448762,448762,KTB[,715831,B,LOC
448774,448774,<BR[,715862,B,LOC
448790,448790,JCB[,715904,B,LOC
448853,448853,VMN[,716076,B,-
448895,448895,JCB[,716214,B,LOC
448898,448898,PG<[,716224,B,-
448905,448905,BW>[,716248,B,DIR
448906,448906,QCR[,716251,B,?
448917,448917,HJH[,716283,B,-
448926,448926,QCR[,716306,B,LOC
448940,448940,NTN[,716350,B,-
448948,448948,<BR[,716379,B,LOC
448958,448958,HLK[,716408,B,LOC
448959,448959,<BR[,716412,B,LOC
448978,448978,<MD[,716464,B,LOC
448991,448991,NWX[,716505,B,DIR
449011,449011,<MD[,716563,B,LOC
449012,449012,<BR[,716568,B,LOC
449028,449028,LJN[,716611,B,LOC
449035,449035,HJH[,716637,B,LOC
449041,449041,<BR[,716654,B,LOC
449052,449052,<MD[,716698,B,LOC
449082,449082,XNH[,716793,B,LOC
449126,449126,HLK[,716926,B,LOC
449129,449129,CM<[,716935,B,-
449141,449141,JCB[,716972,B,LOC
449146,449146,XNH[,716990,B,LOC
449158,449158,CLP[,717036,B,?
449183,449183,NTN[,717107,B,-
449189,449189,TQ<[,717132,B,-
449191,449191,MCK[,717136,B,-
449210,449210,TQ<[,717189,B,-
449215,449215,TQ<[,717205,B,-
449227,449227,LJN[,717239,B,LOC
449233,449233,TQ<[,717257,B,-
449237,449237,TQ<[,717269,B,-
449247,449247,TQ<[,717302,B,-
449266,449266,TQ<[,717359,B,-
449287,449287,FRP[,717425,B,-
449292,449292,JCB[,717439,B,LOC
449305,449305,M<L[,717480,B,-
