,clause,verb,phrase,cmpl_type,cmpl_func
453964,453964,<LH[,731674,B,DIR
453984,453984,R>H[,731733,B,-
454017,454017,MY>[,731831,B,-
454070,454070,<LY[,731992,B,-
454071,454071,RWM[,731995,B,-
454073,454073,FMX[,732001,B,-
454104,454104,GBR[,732083,B,-
454122,454122,LQX[,732141,B,-
454192,454192,B<V[,732361,B,-
454232,454232,CKB[,732488,B,LOC
454238,454238,CKB[,732503,B,LOC
454286,454286,CKB[,732615,B,LOC
454295,454295,<FH[,732640,B,-
454345,454345,XNH[,732795,B,LOC
454355,454355,BW>[,732831,B,DIR
454553,454553,>SR[,733411,B,?
454557,454557,FJM[,733431,B,DIR
454566,454566,NG<[,733457,B,-
454571,454571,>SR[,733471,B,-
454572,454572,KL>[,733475,B,LOC
454575,454575,HLK[,733485,B,LOC
454607,454607,R>H[,733589,B,-
454626,454626,JCB[,733646,B,LOC
454678,454678,BW>[,733822,B,DIR
454698,454698,HLK[,733898,B,LOC
454706,454706,HLK[,733925,B,LOC
454709,454709,R<<[,733935,B,-
454727,454727,CM<[,733986,B,-
454756,454756,CM<[,734084,B,-
454767,454767,CM<[,734117,B,-
454787,454787,<BR[,734171,B,LOC
454788,454788,<BR[,734174,B,LOC
454790,454790,<BR[,734180,B,LOC
454792,454792,<BR[,734185,B,LOC
454794,454794,BW>[,734191,B,DIR
454834,454834,<LH[,734307,B,DIR
454860,454860,BW>[,734375,B,DIR
454877,454877,<YR[,734423,B,-
454933,454933,JRD[,734587,B,DIR
455051,455051,C>L[,734937,B,-
455061,455061,BXR[,734970,B,-
455067,455067,KTB[,734990,B,LOC
455072,455072,NG<[,735011,B,-
455089,455089,CLX[,735067,B,LOC
455131,455131,BW>[,735196,B,DIR
455146,455146,<FH[,735241,B,LOC
455156,455156,CM<[,735278,B,-
455167,455167,<NH[,735308,B,-
455182,455182,MY>[,735356,B,-
455199,455199,MKR[,735410,B,-
455226,455226,CM<[,735482,B,-
455230,455230,CM<[,735498,B,-
455243,455243,<FH[,735533,B,-
455257,455257,<BD[,735584,B,-
455288,455288,TQ<[,735683,B,-
455300,455300,XNH[,735717,B,LOC
455350,455350,JCB[,735878,B,LOC
455352,455352,XNH[,735882,B,LOC
455377,455377,JCB[,735967,B,LOC
455414,455414,NTN[,736075,B,-
455426,455426,NTN[,736115,B,-
455468,455468,<LH[,736232,B,DIR
455485,455485,BW>[,736288,B,DIR
455495,455495,VBL[,736324,B,DIR
455528,455528,PWY[,736424,B,DIR
455544,455544,BZZ[,736474,B,?
455552,455552,C>L[,736498,B,-
455554,455554,NTN[,736504,B,-
455561,455561,HJH[,736519,B,-
455585,455585,V<M[,736593,B,?
455595,455595,<FH[,736622,B,LOC
455702,455702,CLX[,736942,B,-
455708,455708,CM<[,736958,B,-
455713,455713,CM<[,736973,B,-
455714,455714,HLK[,736976,B,LOC
455722,455722,CM<[,737001,B,-
455736,455736,CM<[,737033,B,-
455788,455788,R>H[,737198,B,-
455794,455794,LQX[,737216,B,-
455816,455816,BW>[,737264,B,DIR
455840,455840,BXR[,737340,B,-
455845,455845,R<H[,737356,B,-
455901,455901,MY>[,737513,B,-
455914,455914,XNH[,737554,B,LOC
455960,455960,BW>[,737692,B,?
455964,455964,HLK[,737703,B,-
456033,456033,XRH[,737905,B,-
456061,456061,HJH[,737992,B,LOC
456093,456093,LQX[,738089,B,-
456095,456095,FJM[,738098,B,DIR
456129,456129,NTN[,738211,B,-
456142,456142,VB<[,738249,B,DIR
456162,456162,NPL[,738309,B,LOC
456169,456169,FJM[,738330,B,DIR
456210,456210,JVB[,738436,B,-
456224,456224,R<<[,738471,B,-
456271,456271,JCR[,738636,B,-
456281,456281,XPY[,738668,B,-
456301,456301,JCR[,738728,B,-
456325,456325,XPY[,738805,B,-
456332,456332,JCB[,738822,B,LOC
456342,456342,XV>[,738858,B,-
456345,456345,FJM[,738872,B,-
456350,456350,XV>[,738887,B,-
456352,456352,CM<[,738894,B,-
456367,456367,JCB[,738943,B,LOC
456418,456418,JCB[,739095,B,LOC
456450,456450,BW>[,739175,B,DIR
456473,456473,MY>[,739247,B,-
456602,456602,MY>[,739646,B,-
456606,456606,XRH[,739659,B,-
456689,456689,NTN[,739911,B,-
456703,456703,QDC[,739956,B,?
456716,456716,LQX[,740000,B,-
456722,456722,LWV[,740015,B,-
456738,456738,FJM[,740068,B,-
456766,456766,HJH[,740165,B,LOC
