,clause,verb,phrase,cmpl_type,cmpl_func
433576,433576,<BD[,669628,B,-
433621,433621,XMR[,669766,B,-
433622,433622,FJM[,669769,B,DIR
433623,433623,FJM[,669773,B,DIR
433662,433662,R>H[,669889,B,-
433669,433669,VMN[,669909,B,LOC
433687,433687,JCB[,669958,B,LOC
433735,433735,B<R[,670100,B,-
433821,433821,HLK[,670341,B,LOC
433842,433842,CM<[,670406,B,-
433856,433856,>XZ[,670444,B,-
433904,433904,XRH[,670590,B,-
433915,433915,FJM[,670619,B,DIR
433923,433923,LQX[,670648,B,?
433924,433924,<FH[,670651,B,-
433943,433943,LQX[,670708,B,?
433948,433948,FJM[,670720,B,DIR
434001,434001,CM<[,670870,B,-
434009,434009,PG<[,670894,B,-
434034,434034,<FH[,670963,B,-
434035,434035,C<H[,670967,B,-
434087,434087,NTN[,671107,B,DIR
434111,434111,GWR[,671178,B,LOC
434120,434120,G>L[,671206,B,-
434243,434243,LQX[,671590,B,?
434308,434308,BW>[,671779,B,DIR
434309,434309,<LH[,671781,B,DIR
434317,434317,<FH[,671813,B,-
434356,434356,NVH[,671932,B,-
434438,434438,HJH[,672182,B,LOC
434464,434464,PRX[,672274,B,LOC
434467,434467,HJH[,672285,B,LOC
434567,434567,CJT[,672599,B,DIR
434571,434571,FJM[,672611,B,LOC
434676,434676,NTN[,672937,B,-
434708,434708,NTN[,673031,B,-
434764,434764,FRP[,673219,B,-
434772,434772,<BR[,673241,B,DIR
434774,434774,<FH[,673247,B,-
434780,434780,HJH[,673270,B,LOC
434811,434811,VBL[,673387,B,DIR
434849,434849,HJH[,673501,B,LOC
434871,434871,YRR[,673552,B,LOC
434874,434874,NTN[,673566,B,-
434898,434898,>KL[,673641,B,-
434901,434901,>KL[,673650,B,-
434902,434902,>KL[,673654,B,-
434905,434905,CBR[,673666,B,-
434913,434913,>KL[,673693,B,-
434915,434915,GWR[,673699,B,LOC
434958,434958,PDH[,673842,B,-
434992,434992,XNH[,673953,B,LOC
435116,435116,HLK[,674349,B,LOC
435122,435122,<FH[,674375,B,LOC
435130,435130,RMH[,674398,B,DIR
435139,435139,JRH=[,674418,B,DIR
435142,435142,JRD[,674426,B,DIR
435164,435164,YLL[,674472,B,DIR
435184,435184,DMM[,674513,B,-
435190,435190,NV<[,674528,B,LOC
435197,435197,BW>[,674543,B,DIR
435200,435200,LQX[,674558,B,?
435205,435205,RMH[,674575,B,DIR
435208,435208,HLK[,674587,B,LOC
435231,435231,FJM[,674655,B,-
435253,435253,HLK[,674729,B,-
435407,435407,XNH[,675165,B,LOC
435430,435430,LQX[,675238,B,?
435466,435466,TMK[,675345,B,-
435473,435473,KTB[,675369,B,LOC
435474,435474,FJM[,675372,B,-
435553,435553,CM<[,675619,B,-
435560,435560,HLK[,675643,B,LOC
435601,435601,CM<[,675780,B,-
435632,435632,<LH[,675884,B,DIR
435633,435633,NG<[,675887,B,-
435635,435635,NG<[,675891,B,-
435636,435636,NG<[,675896,B,-
435643,435643,<LH[,675914,B,DIR
