,clause,verb,phrase,cmpl_type,cmpl_func
436599,436599,CPK[,678939,>L,DIR
438087,438087,CPK[,683468,>L,DIR
438054,438054,CPK[,683358,>L,DIR
449356,449356,FJM[,717645,B,DIR
448618,448618,FJM[,715430,B,?
448324,448324,FJM[,714628,B,-
434506,434506,FJM[,672401,>L,-
466381,466381,FJM[,768661,B,DIR
451761,451761,FJM[,724943,B,DIR
461391,461391,FJM[,754141,B,-
462986,462986,FJM[,759002,B,DIR
459682,459682,FJM[,749094,B,DIR
459585,459585,FJM[,748795,B,-
459489,459489,FJM[,748517,B,-
459255,459255,FJM[,747833,B,-
458797,458797,FJM[,746402,B,DIR
458796,458796,FJM[,746400,B,DIR
458773,458773,FJM[,746318,B,DIR
464124,464124,FJM[,762306,B,DIR
464261,464261,FJM[,762704,B,DIR
464288,464288,FJM[,762774,B,DIR
457667,457667,FJM[,742915,B,-
451529,451529,FJM[,724323,B,DIR
464289,464289,FJM[,762778,B,DIR
456738,456738,FJM[,740068,B,-
456345,456345,FJM[,738872,B,-
456169,456169,FJM[,738330,B,DIR
456095,456095,FJM[,738098,B,DIR
454557,454557,FJM[,733431,B,DIR
466287,466287,FJM[,768385,B,DIR
452669,452669,FJM[,727751,B,-
467475,467475,FJM[,772036,B,DIR
452005,452005,FJM[,725675,B,-
467634,467634,FJM[,772515,B,-
467644,467644,FJM[,772545,B,DIR
467647,467647,FJM[,772550,B,-
451762,451762,FJM[,724947,B,DIR
456824,456824,FJM[,740339,B,-
447237,447237,FJM[,711342,B,?
447596,447596,FJM[,712468,B,DIR
437832,437832,FJM[,682635,B,DIR
428111,428111,FJM[,653252,B,DIR
430990,430990,FJM[,661994,B,DIR
431794,431794,FJM[,664355,B,DIR
444906,444906,FJM[,704309,B,DIR
443598,443598,FJM[,700343,B,-
432118,432118,FJM[,665323,B,DIR
443550,443550,FJM[,700199,B,-
443520,443520,FJM[,700103,B,-
432634,432634,FJM[,666866,B,DIR
432704,432704,FJM[,667062,B,DIR
432705,432705,FJM[,667066,B,DIR
432886,432886,FJM[,667596,B,DIR
433622,433622,FJM[,669769,B,DIR
433623,433623,FJM[,669773,B,DIR
433915,433915,FJM[,670619,B,-
433948,433948,FJM[,670720,B,-
434571,434571,FJM[,672611,B,-
435231,435231,FJM[,674655,B,-
435474,435474,FJM[,675372,B,-
437172,437172,FJM[,680607,B,DIR
439958,439958,FJM[,689279,B,-
460983,460983,FJM[,752959,>L,-
460396,460396,FJM[,751219,>L,-
443582,443582,FJM[,700290,B,-
454573,454573,FJM[,733479,>L,DIR
459447,459447,FJM[,748390,>L,-
453786,453786,FJM[,731118,>L,DIR
453756,453756,FJM[,731012,>L,DIR
460124,460124,FJM[,750401,>L,-
446071,446071,FJM[,707758,B,DIR
457249,457249,FJM[,741616,>L,-
446061,446061,FJM[,707721,B,DIR
460122,460122,FJM[,750393,>L,-
456388,456388,FJM[,739011,>L,DIR
454591,454591,FJM[,733540,>L,DIR
445781,445781,FJM[,706899,B,-
435208,435208,HLK[,674587,B,LOC
435560,435560,HLK[,675643,B,-
435253,435253,HLK[,674729,B,-
466026,466026,HLK[,767679,B,-
465995,465995,HLK[,767577,B,-
461951,461951,HLK[,755796,B,-
465327,465327,HLK[,765730,B,LOC
435116,435116,HLK[,674349,B,LOC
461954,461954,HLK[,755804,B,-
454698,454698,HLK[,733898,B,-
455714,455714,HLK[,736976,B,-
454575,454575,HLK[,733485,B,LOC
453336,453336,HLK[,729785,B,?
466416,466416,HLK[,768754,B,-
466627,466627,HLK[,769419,B,-
466645,466645,HLK[,769476,B,-
466951,466951,HLK[,770419,B,-
467044,467044,HLK[,770734,B,-
467091,467091,HLK[,770885,B,-
467101,467101,HLK[,770918,B,-
458143,458143,HLK[,744345,<L,DIR
452554,452554,HLK[,727384,B,LOC
462456,462456,HLK[,757315,B,-
