,clause,verb,phrase,cmpl_type,cmpl_func
448804,448804,HLK[,715951,>L,DIR
448807,448807,CM<[,715958,>L,-
448808,448808,CM<[,715961,>L,-
448831,448831,CLX[,716021,>L,DIR
448834,448834,BW>[,716027,>L,DIR
448841,448841,BW>[,716045,>L,DIR
448862,448862,>MR[,716105,>L,-
448902,448902,>MR[,716238,>L,-
448908,448908,>SP[,716258,>L,DIR
448936,448936,BW>[,716336,>L,DIR
448939,448939,>MR[,716346,>L,-
448956,448956,QRB[,716402,>L,DIR
448960,448960,>MR[,716417,>L,-
448963,448963,>MR[,716428,>L,DIR
448969,448969,>MR[,716444,>L,-
448979,448979,>MR[,716469,>L,-
449018,449018,>MR[,716584,>L,-
449029,449029,QR>[,716616,>L,-
449032,449032,<BR[,716625,>L,DIR
449069,449069,>MR[,716756,>L,-
449085,449085,>MR[,716804,>L,-
449109,449109,>MR[,716874,>L,-
449114,449114,MWL[,716891,>L,LOC
449143,449143,>MR[,716977,>L,-
449159,449159,HLK[,717040,>L,DIR
449171,449171,>MR[,717074,>L,-
449181,449181,>MR[,717104,>L,-
449197,449197,QR>[,717154,>L,-
449198,449198,>MR[,717157,>L,-
449201,449201,>MR[,717167,>L,-
449206,449206,>MR[,717180,>L,-
449221,449221,>MR[,717224,>L,-
449248,449248,>MR[,717306,>L,-
449310,449310,>MR[,717499,>L,-
449316,449316,CWB[,717513,>L,DIR
449317,449317,>MR[,717516,>L,-
449347,449347,>MR[,717616,>L,-
449398,449398,>MR[,717766,>L,-
449434,449434,>MR[,717886,>L,-
449457,449457,QRB[,717951,>L,DIR
449480,449480,HLK[,718005,>L,DIR
449518,449518,>MR[,718127,>L,-
449611,449611,>MR[,718437,>L,-
449615,449615,>MR[,718448,>L,-
449618,449618,>MR[,718460,>L,-
449620,449620,>MR[,718465,>L,-
449623,449623,>MR[,718474,>L,-
449631,449631,>MR[,718497,>L,-
449636,449636,>MR[,718508,>L,-
449643,449643,HLK[,718525,>L,DIR
449664,449664,BW>[,718592,>L,DIR
449669,449669,>MR[,718613,>L,-
449677,449677,>MR[,718641,>L,-
449720,449720,CLX[,718779,>L,DIR
449722,449722,<LH[,718782,>L,DIR
449730,449730,CLX[,718805,final_h,DIR
449733,449733,<LH[,718812,>L,DIR
449738,449738,>MR[,718830,>L,-
449742,449742,BW>[,718843,>L,DIR
449773,449773,CWB[,718943,final_h,DIR
449781,449781,GLL[,718965,>L,DIR
449788,449788,BW>[,718983,>L,DIR
449795,449795,BW>[,719001,>L,DIR
449805,449805,QR>[,719039,>L,-
449806,449806,>MR[,719042,>L,-
449812,449812,>MR[,719058,>L,-
449898,449898,CWB[,719327,final_h,DIR
449901,449901,CLX[,719334,>L,DIR
449915,449915,XNH[,719366,>L,LOC
449917,449917,>MR[,719372,>L,-
450039,450039,>MR[,719692,>L,-
450129,450129,NGC[,719959,>L,DIR
450130,450130,>MR[,719963,>L,-
450196,450196,PNH[,720189,>L,DIR
450199,450199,<BR[,720197,>L,DIR
450203,450203,<LH[,720212,>L,DIR
450207,450207,JY>[,720224,>L,DIR
450211,450211,<BR[,720238,final_h,DIR
450215,450215,JY>[,720250,final_h,DIR
450355,450355,HLK[,720618,>L,DIR
450381,450381,>MR[,720702,>L,-
450392,450392,>MR[,720739,>L,-
450409,450409,>MR[,720795,>L,-
450419,450419,BW>[,720822,>L,DIR
450438,450438,CWB[,720887,>L,DIR
450449,450449,<LH[,720940,>L,DIR
450464,450464,JY>[,720986,>L,DIR
450465,450465,JRD[,720990,>L,DIR
450472,450472,JY>[,721010,>L,DIR
450475,450475,<BR[,721018,final_h,DIR
450477,450477,<BR[,721025,final_h,DIR
450511,450511,PG<[,721119,>L,?
