,0
RYH=[_qal,sta
RYH[_nif,sta
SLX[_nif,sta
SMK[_nif,sta
SMK[_qal,sta
SPR[_nif,act
SPR[_piel,act
SPR[_qal,act
TMM[_hif,sta
TMM[_hit,sta
TMM[_qal,sta
VHR[_hit,sta
VHR[_piel,sta
VHR[_qal,sta
VM>[_hit,sta
VM>[_hotp,sta
VM>[_nif,sta
VM>[_piel,sta
VM>[_qal,sta
XCB[_nif,act
XCB[_piel,act
XGG[_qal,act
XJH[_hif,sta
XJH[_piel,sta
XJH[_qal,sta
XLL[_hif,sta
XLL[_nif,sta
XLL[_piel,sta
XPC[_pual,sta
XRP=[_nif,sta
XV>[_hif,sta
XV>[_hit,sta
XV>[_piel,sta
XV>[_qal,sta
XWH[_hsht,act
XZQ[_hif,sta
XZQ[_qal,sta
YR<[_pual,sta
YR<[_qal,sta
YRR=[_qal,sta
YWD[_qal,sta
YWH[_piel,act
ZBX[_piel,sta
ZBX[_qal,sta
ZKR[_hif,sta
ZKR[_nif,sta
ZKR[_qal,sta
ZMR=[_qal,sta
ZNH[_hif,act
ZNH[_qal,act
ZR<[_hif,act
ZR<[_nif,act
ZR<[_qal,act
ZRH[_piel,sta
ZRQ[_pual,act
ZRQ[_qal,act
ZWB[_qal,sta
