,clause,verb,phrase,cmpl_type,cmpl_func
431408,431408,BW>[,663229,<L,-
431489,431489,JYQ[,663473,<L,DIR
431664,431664,MLK[,663988,<L,-
431942,431942,QCR[,664776,<L,-
431949,431949,PRY[,664794,<L,-
432067,432067,QYP[,665155,<L,-
432102,432102,NTN[,665269,<L,-
432133,432133,TLH[,665365,<L,DIR
432140,432140,NTN[,665391,<L,-
432171,432171,QYP[,665498,<L,-
432194,432194,CM<[,665567,<L,-
432255,432255,CJT[,665742,<L,-
432274,432274,NCQ[,665807,<L,-
432278,432278,NTN[,665820,<L,-
432280,432280,NTN[,665829,<L,-
432282,432282,FJM[,665837,<L,DIR
432287,432287,NTN[,665851,<L,-
432293,432293,JY>[,665878,<L,DIR
432461,432461,NF>[,666361,<L,DIR
432520,432520,NTN[,666522,<L,-
432798,432798,FJM[,667330,<L,-
432914,432914,NPL[,667677,<L,DIR
432916,432916,BKH[,667683,<L,LOC
432918,432918,BKH[,667689,<L,LOC
432939,432939,XWS[,667750,<L,-
432990,432990,CJT[,667900,<L,-
433050,433050,NPL[,668079,<L,DIR
433158,433158,XZQ[,668416,<L,-
433214,433214,JCB[,668601,<L,LOC
433234,433234,MWT[,668659,<L,-
433265,433265,CJT[,668757,<L,-
433281,433281,CJT[,668807,<L,-
433289,433289,FJM[,668830,<L,DIR
433393,433393,Y<D[,669087,<L,LOC
433405,433405,GBR[,669118,<L,-
433437,433437,NPL[,669206,<L,DIR
433438,433438,BKH[,669209,<L,LOC
433515,433515,XCB[,669441,<L,-
433554,433554,QWM[,669562,<L,-
433566,433566,FJM[,669596,<L,-
433582,433582,R>H[,669646,<L,LOC
433627,433627,JRD[,669787,<L,DIR
433636,433636,XML[,669810,<L,-
433688,433688,JCB[,669961,<L,LOC
433836,433836,FJM[,670389,<L,DIR
434025,434025,FJM[,670944,<L,-
434033,434033,KBD[,670960,<L,-
434052,434052,FJM[,671016,<L,-
434084,434084,R>H[,671098,<L,-
434268,434268,NVH[,671653,<L,DIR
434312,434312,NVH[,671793,<L,DIR
434314,434314,NVH[,671802,<L,DIR
434501,434501,JRD[,672385,<L,DIR
434509,434509,NVH[,672412,<L,DIR
434511,434511,NVH[,672422,<L,DIR
434624,434624,NVH[,672763,<L,DIR
434625,434625,<LH[,672767,<L,DIR
434628,434628,NVH[,672779,<L,DIR
434632,434632,<LH[,672795,<L,DIR
434659,434659,NVH[,672885,<L,DIR
434662,434662,NVH[,672897,<L,DIR
434750,434750,KSS[,673165,<L,-
434756,434756,NTN[,673187,<L,DIR
434779,434779,PSX[,673266,<L,-
434820,434820,PSX[,673415,<L,-
434835,434835,PSX[,673459,<L,-
434864,434864,XZQ[,673536,<L,-
435009,435009,SGR[,674001,<L,-
435068,435068,NVH[,674179,<L,DIR
435087,435087,NVH[,674242,<L,DIR
435104,435104,NVH[,674307,<L,DIR
435105,435105,CWB[,674311,<L,DIR
435106,435106,NVH[,674316,<L,DIR
435183,435183,NPL[,674511,<L,-
435230,435230,FJM[,674658,<L,-
435341,435341,QYP[,674960,<L,-
435465,435465,JCB[,675341,<L,LOC
435512,435512,XDH[,675491,<L,-
435522,435522,ZJD[,675522,<L,-
435529,435529,<MD[,675545,<L,LOC
435563,435563,FJM[,675653,<L,-
435574,435574,BW>[,675685,<L,DIR
435598,435598,NF>[,675770,<L,-
435628,435628,JRD[,675875,<L,DIR
435661,435661,JRD[,675966,<L,DIR
435669,435669,JRD[,675992,<L,DIR
435763,435763,ZBX[,676272,<L,LOC
435771,435771,<LH[,676301,<L,DIR
435849,435849,CJT[,676544,<L,-
435911,435911,ZRX[,676742,<L,LOC
435990,435990,FJM[,676983,<L,-
436016,436016,<NH[,677064,<L,-
436104,436104,RBB[,677348,<L,-
436137,436137,ZRQ[,677463,<L,DIR
436145,436145,ZRQ[,677485,<L,DIR
436174,436174,CKN[,677571,<L,LOC
436205,436205,<FH[,677663,<L,DIR
436207,436207,NTN[,677672,<L,DIR
436231,436231,NTN[,677751,<L,DIR
436247,436247,NTN[,677813,<L,DIR
436257,436257,NTN[,677845,<L,DIR
436314,436314,<FH[,678015,<L,DIR
436322,436322,SRX[,678042,<L,LOC
436369,436369,NTN[,678191,<L,DIR
436375,436375,NTN[,678213,<L,DIR
436378,436378,NTN[,678227,<L,DIR
436398,436398,<FH[,678290,<L,DIR
436477,436477,FJM[,678528,<L,DIR
436482,436482,NTN[,678548,<L,DIR
436500,436500,<FH[,678597,<L,DIR
436501,436501,<FH[,678602,<L,DIR
436502,436502,NTN[,678607,<L,DIR
436503,436503,NTN[,678611,<L,DIR
436504,436504,NTN[,678616,<L,DIR
436505,436505,NTN[,678619,<L,DIR
436507,436507,FJM[,678626,<L,DIR
436510,436510,NTN[,678636,<L,DIR
436514,436514,NF>[,678657,<L,LOC
436519,436519,NF>[,678676,<L,LOC
436525,436525,<FH[,678699,<L,DIR
436538,436538,FJM[,678737,<L,DIR
436575,436575,NTN[,678850,<L,DIR
436583,436583,FJM[,678879,<L,DIR
436584,436584,NTN[,678883,<L,DIR
436586,436586,JYQ[,678889,<L,DIR
436595,436595,SMK[,678923,<L,DIR
436598,436598,NTN[,678934,<L,DIR
436607,436607,SMK[,678965,<L,DIR
436610,436610,ZRQ[,678974,<L,DIR
436613,436613,NTN[,678985,<L,DIR
436618,436618,SMK[,679003,<L,DIR
436621,436621,NTN[,679012,<L,DIR
436622,436622,ZRQ[,679016,<L,DIR
436633,436633,FJM[,679049,<L,DIR
436675,436675,<FH[,679188,<L,DIR
436736,436736,NSK[,679374,<L,DIR
436759,436759,NTN[,679447,<L,-
436798,436798,JSK[,679560,<L,?
437034,437034,NTN[,680215,<L,-
437061,437061,PQD[,680288,<L,-
437173,437173,FKK[,680611,<L,LOC
437180,437180,KTB[,680633,<L,LOC
437197,437197,<BR[,680700,<L,LOC
437270,437270,CXV[,680918,<L,-
437280,437280,KTB[,680958,<L,LOC
437300,437300,NTN[,681022,<L,DIR
437354,437354,BW>[,681160,<L,-
437451,437451,<FH[,681453,<L,DIR
437533,437533,NTN[,681730,<L,DIR
437684,437684,FJM[,682164,<L,DIR
437707,437707,NTN[,682224,<L,DIR
437708,437708,NTN[,682228,<L,DIR
437709,437709,NTN[,682233,<L,DIR
437710,437710,NTN[,682236,<L,DIR
437712,437712,FJM[,682243,<L,DIR
437715,437715,NTN[,682253,<L,DIR
437724,437724,<FH[,682290,<L,DIR
437738,437738,KTB[,682338,<L,LOC
437740,437740,NTN[,682344,<L,DIR
437741,437741,NTN[,682347,<L,DIR
437772,437772,SKK[,682427,<L,?
437818,437818,PRF[,682578,<L,DIR
437819,437819,FJM[,682582,<L,DIR
437823,437823,FJM[,682597,<L,DIR
437824,437824,NTN[,682601,<L,DIR
437830,437830,<RK[,682625,<L,DIR
437857,437857,CKN[,682726,<L,LOC
