node,book,chapter,verse,lang,lex,stem,tense,func,pdp,word_order,pred
27,Genesis,1,2,Hebrew,RXP,piel,ptca,PreC,verb,SV,
90,Genesis,1,6,Hebrew,BDL,hif,ptca,PreC,verb,V,HJH
187,Genesis,1,11,Hebrew,ZR<,hif,ptca,PreC,verb,V,
191,Genesis,1,11,Hebrew,<FH,qal,ptca,PreC,verb,V,
210,Genesis,1,12,Hebrew,ZR<,hif,ptca,PreC,verb,V,
216,Genesis,1,12,Hebrew,<FH,qal,ptca,PreC,verb,V,
395,Genesis,1,21,Hebrew,RMF,qal,ptca,PreC,verb,V,
530,Genesis,1,26,Hebrew,RMF,qal,ptca,PreC,verb,V,
586,Genesis,1,28,Hebrew,RMF,qal,ptca,PreC,verb,V,
599,Genesis,1,29,Hebrew,ZR<,qal,ptca,PreC,verb,V,
616,Genesis,1,29,Hebrew,ZR<,qal,ptca,PreC,verb,V,
841,Genesis,2,9,Hebrew,XMD,nif,ptca,PreC,verb,V,
865,Genesis,2,10,Hebrew,JY>,qal,ptca,PreC,verb,SV,
888,Genesis,2,11,Hebrew,SBB,qal,ptca,PreC,verb,V,
921,Genesis,2,13,Hebrew,SBB,qal,ptca,PreC,verb,V,
935,Genesis,2,14,Hebrew,HLK,qal,ptca,PreC,verb,V,
1243,Genesis,3,5,Hebrew,JD<,qal,ptca,PreC,verb,VS,
1279,Genesis,3,6,Hebrew,XMD,nif,ptca,PreC,verb,VS,
1321,Genesis,3,8,Hebrew,HLK,hit,ptca,PreC,verb,V,
1435,Genesis,3,14,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
1519,Genesis,3,17,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
1659,Genesis,3,24,Hebrew,HPK,hit,ptca,PreC,verb,V,
1697,Genesis,4,2,Hebrew,R<H,qal,ptca,PreC,subs,SV,HJH
1702,Genesis,4,2,Hebrew,<BD,qal,ptca,PreC,subs,SV,HJH
1779,Genesis,4,7,Hebrew,RBY,qal,ptca,PreC,verb,SV,
1821,Genesis,4,9,Hebrew,CMR,qal,ptca,PreC,verb,VS,
1831,Genesis,4,10,Hebrew,Y<Q,qal,ptca,PreC,verb,SV,
1838,Genesis,4,11,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
1864,Genesis,4,12,Hebrew,NW<,qal,ptca,PreC,adjv,VV,HJH
1866,Genesis,4,12,Hebrew,NWD,qal,ptca,PreC,adjv,VV,HJH
1896,Genesis,4,14,Hebrew,NW<,qal,ptca,PreC,adjv,VV,HJH
1898,Genesis,4,14,Hebrew,NWD,qal,ptca,PreC,adjv,VV,HJH
1913,Genesis,4,15,Hebrew,HRG,qal,ptca,PreC,verb,V,
1928,Genesis,4,15,Hebrew,MY>,qal,ptca,Subj,subs,S,NKH
1956,Genesis,4,17,Hebrew,BNH,qal,ptca,PreC,verb,V,
2011,Genesis,4,20,Hebrew,JCB,qal,ptca,PreC,subs,SV,HJH
2023,Genesis,4,21,Hebrew,TPF,qal,ptca,PreC,subs,SV,HJH
2916,Genesis,6,17,Hebrew,BW>,hif,ptca,PreC,verb,V,
3111,Genesis,7,4,Hebrew,MVR,hif,ptca,PreC,verb,SV,
3193,Genesis,7,8,Hebrew,RMF,qal,ptca,PreC,verb,V,
3320,Genesis,7,14,Hebrew,RMF,qal,ptca,PreC,verb,V,
3355,Genesis,7,16,Hebrew,BW>,qal,ptca,PreC,verb,V,
3453,Genesis,7,21,Hebrew,RMF,qal,ptca,PreC,verb,V,
3474,Genesis,7,21,Hebrew,CRY,qal,ptca,PreC,verb,V,
3893,Genesis,8,17,Hebrew,RMF,qal,ptca,PreC,verb,V,
3933,Genesis,8,19,Hebrew,RMF,qal,ptca,PreC,verb,V,
4178,Genesis,9,9,Hebrew,QWM,hif,ptca,PreC,verb,V,
4209,Genesis,9,10,Hebrew,JY>,qal,ptca,PreC,verb,V,
4250,Genesis,9,12,Hebrew,NTN,qal,ptca,PreC,verb,SV,
4375,Genesis,9,18,Hebrew,JY>,qal,ptca,PreC,verb,V,
4482,Genesis,9,25,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
4491,Genesis,9,26,Hebrew,BRK,qal,ptcp,PreC,verb,VS,
5520,Genesis,12,3,Hebrew,BRK,piel,ptca,Objc,subs,,BRK
5522,Genesis,12,3,Hebrew,QLL,piel,ptca,Objc,subs,,>RR
5631,Genesis,12,7,Hebrew,R>H,nif,ptca,PreC,verb,V,
5944,Genesis,13,5,Hebrew,HLK,qal,ptca,PreC,verb,V,
5976,Genesis,13,7,Hebrew,R<H,qal,ptca,PreC,subs,SVV,HJH
5981,Genesis,13,7,Hebrew,R<H,qal,ptca,PreC,subs,SVV,HJH
5991,Genesis,13,7,Hebrew,JCB,qal,ptca,PreC,verb,SV,
6009,Genesis,13,8,Hebrew,R<H,qal,ptca,Cmpl,subs,S,HJH
6012,Genesis,13,8,Hebrew,R<H,qal,ptca,Cmpl,subs,S,HJH
6151,Genesis,13,15,Hebrew,R>H,qal,ptca,PreC,verb,SV,
6339,Genesis,14,7,Hebrew,JCB,qal,ptca,PreC,verb,V,
6407,Genesis,14,10,Hebrew,C>R,nif,ptca,Subj,subs,S,NWS
6438,Genesis,14,12,Hebrew,JCB,qal,ptca,PreC,verb,SV,
6453,Genesis,14,13,Hebrew,CKN,qal,ptca,PreC,verb,SV,
6574,Genesis,14,19,Hebrew,BRK,qal,ptcp,PreC,verb,VS,
6579,Genesis,14,19,Hebrew,QNH=,qal,ptca,Cmpl,subs,VS,
6584,Genesis,14,20,Hebrew,BRK,qal,ptcp,PreC,verb,VS,
6625,Genesis,14,22,Hebrew,QNH=,qal,ptca,Cmpl,subs,,RWM
6704,Genesis,15,2,Hebrew,HLK,qal,ptca,PreC,verb,SV,
6725,Genesis,15,3,Hebrew,JRC,qal,ptca,PreC,verb,SV,
6814,Genesis,15,9,Hebrew,CLC,pual,ptcp,Objc,adjv,,LQX
6817,Genesis,15,9,Hebrew,CLC,pual,ptcp,Objc,adjv,,LQX
6820,Genesis,15,9,Hebrew,CLC,pual,ptcp,Objc,adjv,,LQX
6877,Genesis,15,12,Hebrew,NPL,qal,ptca,PreC,verb,SV,
6908,Genesis,15,14,Hebrew,DJN,qal,ptca,PreC,verb,VS,
7197,Genesis,16,8,Hebrew,BRX,qal,ptca,PreC,verb,SV,
7232,Genesis,16,11,Hebrew,JLD,qal,ptca,PreC,verb,V,
7267,Genesis,16,13,Hebrew,DBR,qal,ptca,PreC,verb,V,
7639,Genesis,17,19,Hebrew,JLD,qal,ptca,PreC,verb,SV,
7810,Genesis,18,1,Hebrew,JCB,qal,ptca,PreC,verb,SV,
7827,Genesis,18,2,Hebrew,NYB,nif,ptca,PreC,verb,SV,
7949,Genesis,18,8,Hebrew,<MD,qal,ptca,PreC,verb,SV,
7985,Genesis,18,10,Hebrew,CM<,qal,ptca,PreC,verb,SV,
7997,Genesis,18,11,Hebrew,BW>,qal,ptca,PreC,verb,V,
8088,Genesis,18,16,Hebrew,HLK,qal,ptca,PreC,verb,SV,
8096,Genesis,18,17,Hebrew,KSH,piel,ptca,PreC,verb,VS,
8102,Genesis,18,17,Hebrew,<FH,qal,ptca,PreC,verb,SV,
8190,Genesis,18,22,Hebrew,<MD,qal,ptca,PreC,verb,V,
8254,Genesis,18,25,Hebrew,CPV,qal,ptca,Subj,subs,S,<FH
8435,Genesis,19,1,Hebrew,JCB,qal,ptca,PreC,verb,SV,
8695,Genesis,19,13,Hebrew,CXT,hif,ptca,PreC,verb,VS,
8720,Genesis,19,14,Hebrew,LQX,qal,ptca,Cmpl,subs,,DBR
8732,Genesis,19,14,Hebrew,CXT,hif,ptca,PreC,verb,VS,
8740,Genesis,19,14,Hebrew,YXQ,piel,ptca,PreC,subs,V,HJH
8766,Genesis,19,15,Hebrew,MY>,nif,ptca,PreC,verb,V,
8972,Genesis,19,25,Hebrew,JCB,qal,ptca,Objc,subs,,HPK
9295,Genesis,20,3,Hebrew,MWT,qal,ptca,PreC,verb,V,
9389,Genesis,20,7,Hebrew,CWB,hif,ptca,PreC,verb,V,
9588,Genesis,20,16,Hebrew,JKX,nif,ptca,PreC,verb,V,
9703,Genesis,21,6,Hebrew,CM<,qal,ptca,PreC,verb,V,
9748,Genesis,21,9,Hebrew,YXQ,piel,ptca,PreC,verb,V,
9841,Genesis,21,14,Hebrew,FJM,qal,ptca,PreC,verb,V,
9990,Genesis,21,20,Hebrew,RBH=,qal,ptca,PreC,subs,V,HJH
10029,Genesis,21,22,Hebrew,<FH,qal,ptca,PreC,verb,SV,
10620,Genesis,22,17,Hebrew,>JB,qal,ptca,Objc,subs,S,JRC
10776,Genesis,23,3,Hebrew,MWT,qal,ptca,Cmpl,subs,S,QWM
10796,Genesis,23,4,Hebrew,MWT,qal,ptca,Objc,subs,,QBR
10821,Genesis,23,6,Hebrew,MWT,qal,ptca,Objc,subs,,QBR
10831,Genesis,23,6,Hebrew,MWT,qal,ptca,Objc,subs,,QBR
10856,Genesis,23,8,Hebrew,MWT,qal,ptca,Objc,subs,,QBR
10893,Genesis,23,10,Hebrew,JCB,qal,ptca,PreC,verb,SV,
10937,Genesis,23,11,Hebrew,MWT,qal,ptca,Objc,subs,,QBR
10971,Genesis,23,13,Hebrew,MWT,qal,ptca,Objc,subs,,QBR
10995,Genesis,23,15,Hebrew,MWT,qal,ptca,Objc,subs,,QBR
11020,Genesis,23,16,Hebrew,<BR,qal,ptca,PreC,verb,V,
11023,Genesis,23,16,Hebrew,SXR,qal,ptca,Cmpl,subs,V,
11131,Genesis,24,2,Hebrew,MCL,qal,ptca,PreC,verb,V,
11164,Genesis,24,3,Hebrew,JCB,qal,ptca,PreC,verb,SV,
11349,Genesis,24,11,Hebrew,C>B,qal,ptca,Subj,subs,S,JY>
11370,Genesis,24,13,Hebrew,NYB,nif,ptca,PreC,verb,SV,
11380,Genesis,24,13,Hebrew,JY>,qal,ptca,PreC,verb,SV,
11427,Genesis,24,15,Hebrew,JY>,qal,ptca,PreC,verb,SV,
11528,Genesis,24,21,Hebrew,C>H==,hit,ptca,PreC,verb,SV,
11615,Genesis,24,27,Hebrew,BRK,qal,ptcp,PreC,verb,VS,
11705,Genesis,24,30,Hebrew,<MD,qal,ptca,PreC,verb,V,
11842,Genesis,24,37,Hebrew,JCB,qal,ptca,PreC,verb,SV,
11928,Genesis,24,42,Hebrew,YLX,hif,ptca,PreC,verb,V,
11932,Genesis,24,42,Hebrew,HLK,qal,ptca,PreC,verb,SV,
11936,Genesis,24,43,Hebrew,NYB,nif,ptca,PreC,verb,SV,
11946,Genesis,24,43,Hebrew,JY>,qal,ptca,PreC,verb,V,
11988,Genesis,24,45,Hebrew,JY>,qal,ptca,PreC,verb,SV,
12084,Genesis,24,49,Hebrew,<FH,qal,ptca,PreC,verb,V,
12288,Genesis,24,60,Hebrew,FN>,qal,ptca,Objc,subs,S,JRC
12321,Genesis,24,62,Hebrew,JCB,qal,ptca,PreC,verb,SV,
12345,Genesis,24,63,Hebrew,BW>,qal,ptca,PreC,verb,SV,
12372,Genesis,24,65,Hebrew,HLK,qal,ptca,PreC,verb,V,
12831,Genesis,25,26,Hebrew,>XZ,qal,ptca,PreC,verb,SV,
12855,Genesis,25,27,Hebrew,JD<,qal,ptca,PreC,verb,V,
12863,Genesis,25,27,Hebrew,JCB,qal,ptca,PreC,verb,V,
12876,Genesis,25,28,Hebrew,>HB,qal,ptca,PreC,verb,SV,
12929,Genesis,25,32,Hebrew,HLK,qal,ptca,PreC,verb,SV,
13144,Genesis,26,8,Hebrew,YXQ,piel,ptca,PreC,verb,SV,
13202,Genesis,26,11,Hebrew,NG<,qal,ptca,PreC,verb,V,
13350,Genesis,26,20,Hebrew,R<H,qal,ptca,Subj,subs,S,RJB
13353,Genesis,26,20,Hebrew,R<H,qal,ptca,Cmpl,subs,S,RJB
13706,Genesis,27,5,Hebrew,CM<,qal,ptca,PreC,verb,SV,
13735,Genesis,27,6,Hebrew,DBR,piel,ptca,PreC,verb,V,
13767,Genesis,27,8,Hebrew,YWH,piel,ptca,PreC,verb,SV,
13828,Genesis,27,12,Hebrew,T<<,piel,ptca,PreC,subs,V,HJH
14123,Genesis,27,29,Hebrew,>RR,qal,ptca,Subj,subs,SV,
14124,Genesis,27,29,Hebrew,>RR,qal,ptcp,PreC,verb,SV,
14126,Genesis,27,29,Hebrew,BRK,piel,ptca,Subj,subs,SV,
14127,Genesis,27,29,Hebrew,BRK,qal,ptcp,PreC,verb,SV,
14205,Genesis,27,33,Hebrew,YWD,qal,ptca,PreC,verb,V,
14220,Genesis,27,33,Hebrew,BRK,qal,ptcp,PreC,adjv,V,HJH
14420,Genesis,27,42,Hebrew,NXM,hit,ptca,PreC,verb,SV,
14484,Genesis,27,46,Hebrew,LQX,qal,ptca,PreC,verb,VS,
14711,Genesis,28,12,Hebrew,NYB,hof,ptcp,PreC,verb,SV,
14715,Genesis,28,12,Hebrew,NG<,hif,ptca,PreC,verb,SV,
14722,Genesis,28,12,Hebrew,<LH,qal,ptca,PreC,verb,SV,
14724,Genesis,28,12,Hebrew,JRD,qal,ptca,PreC,verb,V,
14729,Genesis,28,13,Hebrew,NYB,nif,ptca,PreC,verb,SV,
14745,Genesis,28,13,Hebrew,CKB,qal,ptca,PreC,verb,SV,
14906,Genesis,28,20,Hebrew,HLK,qal,ptca,PreC,verb,SV,
14972,Genesis,29,2,Hebrew,RBY,qal,ptca,PreC,verb,SV,
15061,Genesis,29,6,Hebrew,BW>,qal,ptca,PreC,verb,SV,
15108,Genesis,29,9,Hebrew,DBR,piel,ptca,PreC,verb,V,
16105,Genesis,30,32,Hebrew,VL>,qal,ptcp,Objc,adjv,,SWR
16114,Genesis,30,32,Hebrew,VL>,qal,ptcp,Objc,subs,,SWR
16150,Genesis,30,33,Hebrew,GNB,qal,ptcp,PreC,verb,VS,
16175,Genesis,30,35,Hebrew,VL>,qal,ptcp,Objc,adjv,,SWR
16185,Genesis,30,35,Hebrew,VL>,qal,ptcp,Objc,adjv,,SWR
16212,Genesis,30,36,Hebrew,R<H,qal,ptca,PreC,verb,SV,
16217,Genesis,30,36,Hebrew,JTR,nif,ptca,PreC,verb,V,
16285,Genesis,30,39,Hebrew,VL>,qal,ptcp,Objc,adjv,S,JLD
16324,Genesis,30,41,Hebrew,QCR,pual,ptcp,Subj,adjv,S,JXM
16452,Genesis,31,5,Hebrew,R>H,qal,ptca,PreC,verb,VS,
16548,Genesis,31,10,Hebrew,<LH,qal,ptca,PreC,verb,V,
16580,Genesis,31,12,Hebrew,<LH,qal,ptca,PreC,verb,V,
16594,Genesis,31,12,Hebrew,<FH,qal,ptca,PreC,verb,SV,
16741,Genesis,31,20,Hebrew,BRX,qal,ptca,PreC,verb,VS,
17123,Genesis,31,39,Hebrew,GNB,qal,ptcp,PreO,subs,,
17126,Genesis,31,39,Hebrew,GNB,qal,ptcp,PreO,subs,,
17215,Genesis,31,43,Hebrew,R>H,qal,ptca,PreC,verb,SV,
17553,Genesis,32,7,Hebrew,HLK,qal,ptca,PreC,verb,V,
17606,Genesis,32,9,Hebrew,C>R,nif,ptca,Subj,adjv,S,HJH
17621,Genesis,32,10,Hebrew,>MR,qal,ptca,PreC,verb,V,
17670,Genesis,32,12,Hebrew,JR>,qal,ptca,PreC,verb,VS,
17711,Genesis,32,14,Hebrew,BW>,qal,ptca,PreC,verb,V,
17802,Genesis,32,19,Hebrew,CLX,qal,ptcp,PreC,verb,V,
17826,Genesis,32,20,Hebrew,HLK,qal,ptca,PreC,verb,V,
17858,Genesis,32,21,Hebrew,HLK,qal,ptca,PreC,verb,V,
17877,Genesis,32,22,Hebrew,LJN,qal,ptca,PreC,verb,SV,
18043,Genesis,32,32,Hebrew,YL<,qal,ptca,PreC,verb,SV,
18085,Genesis,33,1,Hebrew,BW>,qal,ptca,PreC,verb,SV,
18299,Genesis,33,13,Hebrew,JD<,qal,ptca,PreC,verb,SV,
18310,Genesis,33,13,Hebrew,<WL,qal,ptca,PreC,verb,SV,
18856,Genesis,34,22,Hebrew,MWL,nif,ptca,PreC,verb,SV,
18882,Genesis,34,24,Hebrew,JY>,qal,ptca,Subj,subs,S,CM<
18890,Genesis,34,24,Hebrew,JY>,qal,ptca,Subj,subs,S,MWL
18902,Genesis,34,25,Hebrew,K>B,qal,ptca,PreC,adjv,V,
19013,Genesis,34,30,Hebrew,JCB,qal,ptca,Cmpl,subs,,
19041,Genesis,34,31,Hebrew,ZNH,qal,ptca,Cmpl,subs,,<FH
19064,Genesis,35,1,Hebrew,R>H,nif,ptca,PreC,verb,V,
19108,Genesis,35,3,Hebrew,<NH,qal,ptca,PreC,verb,V,
19376,Genesis,35,17,Hebrew,JLD,piel,ptca,Subj,subs,S,>MR
20059,Genesis,36,35,Hebrew,NKH,hif,ptca,PreC,verb,V,
20183,Genesis,37,2,Hebrew,R<H,qal,ptca,PreC,verb,V,
20273,Genesis,37,7,Hebrew,>LM,piel,ptca,PreC,verb,SV,
20343,Genesis,37,9,Hebrew,XWH,hsht,ptca,PreC,verb,SV,
20406,Genesis,37,13,Hebrew,R<H,qal,ptca,PreC,verb,SV,
20447,Genesis,37,15,Hebrew,T<H,qal,ptca,PreC,verb,V,
20464,Genesis,37,16,Hebrew,BQC,piel,ptca,PreC,verb,SV,
20470,Genesis,37,16,Hebrew,R<H,qal,ptca,PreC,verb,SV,
20480,Genesis,37,17,Hebrew,>MR,qal,ptca,PreC,verb,V,
20518,Genesis,37,19,Hebrew,BW>,qal,ptca,PreC,verb,SV,
20632,Genesis,37,25,Hebrew,BW>,qal,ptca,PreC,verb,SV,
20637,Genesis,37,25,Hebrew,NF>,qal,ptca,PreC,verb,SV,
20643,Genesis,37,25,Hebrew,HLK,qal,ptca,PreC,verb,V,
20739,Genesis,37,30,Hebrew,BW>,qal,ptca,PreC,verb,SV,
21040,Genesis,38,12,Hebrew,GZZ,qal,ptca,Cmpl,subs,S,<LH
21057,Genesis,38,13,Hebrew,<LH,qal,ptca,PreC,verb,SV,
21102,Genesis,38,15,Hebrew,ZNH,qal,ptca,Cmpl,subs,,
21301,Genesis,38,25,Hebrew,JY>,hof,ptcp,PreC,verb,SV,
21373,Genesis,38,28,Hebrew,JLD,piel,ptca,Subj,subs,S,LQX
21387,Genesis,38,29,Hebrew,CWB,hif,ptca,PreC,verb,V,
21445,Genesis,39,2,Hebrew,YLX,hif,ptca,PreC,subs,V,HJH
21463,Genesis,39,3,Hebrew,<FH,qal,ptca,PreC,verb,SV,
21465,Genesis,39,3,Hebrew,YLX,hif,ptca,PreC,verb,SV,
21547,Genesis,39,6,Hebrew,>KL,qal,ptca,PreC,verb,SV,
21840,Genesis,39,20,Hebrew,>SR,qal,ptcp,PreC,verb,SV,
21888,Genesis,39,22,Hebrew,<FH,qal,ptca,PreC,verb,V,
21892,Genesis,39,22,Hebrew,<FH,qal,ptca,PreC,verb,SV,HJH
21898,Genesis,39,23,Hebrew,R>H,qal,ptca,PreC,verb,SV,
21911,Genesis,39,23,Hebrew,<FH,qal,ptca,PreC,verb,SV,
21913,Genesis,39,23,Hebrew,YLX,hif,ptca,PreC,verb,SV,
21942,Genesis,40,2,Hebrew,CQH,hif,ptca,Cmpl,subs,S,QYP
21964,Genesis,40,3,Hebrew,>SR,qal,ptcp,PreC,verb,SV,
21996,Genesis,40,5,Hebrew,CQH,hif,ptca,Subj,subs,S,XLM
22005,Genesis,40,5,Hebrew,>SR,qal,ptcp,PreC,verb,V,
22022,Genesis,40,6,Hebrew,Z<P,qal,ptca,PreC,verb,V,
22066,Genesis,40,9,Hebrew,CQH,hif,ptca,Subj,subs,S,SPR
22239,Genesis,40,17,Hebrew,>KL,qal,ptca,PreC,verb,SV,
22306,Genesis,40,20,Hebrew,CQH,hif,ptca,Objc,subs,,NF>
22321,Genesis,40,21,Hebrew,CQH,hif,ptca,Objc,subs,,CWB
22347,Genesis,40,23,Hebrew,CQH,hif,ptca,Subj,subs,S,ZKR
22360,Genesis,41,1,Hebrew,XLM,qal,ptca,PreC,verb,SV,
22363,Genesis,41,1,Hebrew,<MD,qal,ptca,PreC,verb,V,
22372,Genesis,41,2,Hebrew,<LH,qal,ptca,PreC,verb,VS,
22390,Genesis,41,3,Hebrew,<LH,qal,ptca,PreC,verb,SV,
22442,Genesis,41,5,Hebrew,<LH,qal,ptca,PreC,verb,SV,
22455,Genesis,41,6,Hebrew,CDP,qal,ptcp,Subj,adjv,SV,
22457,Genesis,41,6,Hebrew,YMX,qal,ptca,PreC,verb,SV,
22508,Genesis,41,8,Hebrew,PTR,qal,ptca,PreC,verb,V,
22516,Genesis,41,9,Hebrew,CQH,hif,ptca,Subj,subs,S,DBR
22524,Genesis,41,9,Hebrew,ZKR,hif,ptca,PreC,verb,SV,
22661,Genesis,41,17,Hebrew,<MD,qal,ptca,PreC,verb,V,
22671,Genesis,41,18,Hebrew,<LH,qal,ptca,PreC,verb,VS,
22689,Genesis,41,19,Hebrew,<LH,qal,ptca,PreC,verb,SV,
22756,Genesis,41,22,Hebrew,<LH,qal,ptca,PreC,verb,SV,
22769,Genesis,41,23,Hebrew,CDP,qal,ptcp,Subj,adjv,SV,
22771,Genesis,41,23,Hebrew,YMX,qal,ptca,PreC,verb,SV,
22792,Genesis,41,24,Hebrew,NGD,hif,ptca,PreC,verb,V,
22807,Genesis,41,25,Hebrew,<FH,qal,ptca,PreC,verb,SV,
22840,Genesis,41,27,Hebrew,<LH,qal,ptca,PreC,verb,V,
22868,Genesis,41,28,Hebrew,<FH,qal,ptca,PreC,verb,SV,
22875,Genesis,41,29,Hebrew,BW>,qal,ptca,PreC,verb,SV,
22932,Genesis,41,32,Hebrew,KWN,nif,ptca,PreC,verb,VS,
22940,Genesis,41,32,Hebrew,MHR,piel,ptca,PreC,verb,VS,
22950,Genesis,41,33,Hebrew,BJN,nif,ptca,Objc,adjv,S,R>H
22986,Genesis,41,35,Hebrew,BW>,qal,ptca,Objc,adjv,,QBY
23501,Genesis,42,5,Hebrew,BW>,qal,ptca,PreC,verb,V,
23519,Genesis,42,6,Hebrew,CBR=,hif,ptca,PreC,verb,V,
23583,Genesis,42,9,Hebrew,RGL,piel,ptca,PreC,verb,VS,
23613,Genesis,42,11,Hebrew,RGL,piel,ptca,PreC,subs,SV,HJH
23660,Genesis,42,14,Hebrew,RGL,piel,ptca,PreC,verb,VS,
23701,Genesis,42,16,Hebrew,RGL,piel,ptca,PreC,verb,VS,
23727,Genesis,42,18,Hebrew,JR>,qal,ptca,PreC,verb,SV,
23812,Genesis,42,22,Hebrew,DRC,nif,ptca,PreC,verb,V,
23818,Genesis,42,23,Hebrew,CM<,qal,ptca,PreC,verb,VS,
23947,Genesis,42,29,Hebrew,QRH,qal,ptca,PreC,verb,V,
23963,Genesis,42,30,Hebrew,RGL,piel,ptca,PreC,verb,V,
23974,Genesis,42,31,Hebrew,RGL,piel,ptca,PreC,subs,V,HJH
24031,Genesis,42,34,Hebrew,RGL,piel,ptca,PreC,verb,VS,
24048,Genesis,42,35,Hebrew,RJQ,hif,ptca,PreC,verb,SV,
24117,Genesis,42,38,Hebrew,MWT,qal,ptca,PreC,verb,SV,
24122,Genesis,42,38,Hebrew,C>R,nif,ptca,PreC,verb,SV,
24190,Genesis,43,4,Hebrew,CLX,piel,ptca,PreC,verb,V,
24202,Genesis,43,5,Hebrew,CLX,piel,ptca,PreC,verb,V,
24365,Genesis,43,12,Hebrew,CWB,hof,ptcp,PreC,verb,V,
24501,Genesis,43,18,Hebrew,CWB,qal,ptca,PreC,verb,V,
24508,Genesis,43,18,Hebrew,BW>,hof,ptcp,PreC,verb,SV,
24773,Genesis,43,32,Hebrew,>KL,qal,ptca,PreC,verb,V,
25371,Genesis,44,30,Hebrew,QCR,qal,ptcp,PreC,verb,SV,
25461,Genesis,45,1,Hebrew,NYB,nif,ptca,PreC,verb,V,
25686,Genesis,45,12,Hebrew,R>H,qal,ptca,PreC,verb,SV,
25694,Genesis,45,12,Hebrew,DBR,piel,ptca,PreC,verb,V,
25887,Genesis,45,23,Hebrew,NF>,qal,ptca,PreC,verb,V,
25894,Genesis,45,23,Hebrew,NF>,qal,ptca,PreC,verb,V,
25941,Genesis,45,26,Hebrew,MCL,qal,ptca,PreC,verb,SV,
26129,Genesis,46,8,Hebrew,BW>,qal,ptca,PreC,verb,V,
26382,Genesis,46,26,Hebrew,BW>,qal,ptca,PreC,verb,V,
26386,Genesis,46,26,Hebrew,JY>,qal,ptca,PreC,verb,V,
26554,Genesis,46,34,Hebrew,R<H,qal,ptca,PreC,verb,V,
26837,Genesis,47,14,Hebrew,MY>,nif,ptca,PreC,verb,V,
26850,Genesis,47,14,Hebrew,CBR=,qal,ptca,PreC,verb,SV,
27310,Genesis,48,1,Hebrew,XLH,qal,ptca,PreC,verb,SV,
27331,Genesis,48,2,Hebrew,BW>,qal,ptca,PreC,verb,SV,
27387,Genesis,48,5,Hebrew,JLD,nif,ptca,PreC,verb,V,
27598,Genesis,48,15,Hebrew,R<H,qal,ptca,PreC,verb,V,
27610,Genesis,48,16,Hebrew,G>L,qal,ptca,PreC,verb,V,
27747,Genesis,48,21,Hebrew,MWT,qal,ptca,PreC,verb,SV,
27859,Genesis,49,7,Hebrew,>RR,qal,ptcp,PreC,verb,VS,
27920,Genesis,49,11,Hebrew,>SR,qal,ptca,PreC,verb,V,
27967,Genesis,49,14,Hebrew,RBY,qal,ptca,PreC,verb,V,
27991,Genesis,49,15,Hebrew,<BD,qal,ptca,Cmpl,subs,,HJH
28008,Genesis,49,17,Hebrew,NCK,qal,ptca,PreC,verb,V,
28013,Genesis,49,17,Hebrew,RKB,qal,ptca,Subj,subs,S,NPL
28039,Genesis,49,21,Hebrew,NTN,qal,ptca,PreC,verb,V,
28076,Genesis,49,24,Hebrew,R<H,qal,ptca,PreC,verb,VS,
28095,Genesis,49,25,Hebrew,RBY,qal,ptca,PreC,verb,V,
28106,Genesis,49,26,Hebrew,HRH,qal,ptca,Cmpl,subs,S,GBR
28162,Genesis,49,29,Hebrew,>SP,nif,ptca,PreC,verb,SV,
28278,Genesis,50,2,Hebrew,RP>,qal,ptca,Objc,subs,S,YWH
28286,Genesis,50,2,Hebrew,RP>,qal,ptca,Subj,subs,S,XNV
28337,Genesis,50,5,Hebrew,MWT,qal,ptca,PreC,verb,SV,
28449,Genesis,50,11,Hebrew,JCB,qal,ptca,Subj,subs,S,R>H
28527,Genesis,50,14,Hebrew,<LH,qal,ptca,PreC,verb,V,
28702,Genesis,50,24,Hebrew,MWT,qal,ptca,PreC,verb,SV,
28770,Exodus,1,1,Hebrew,BW>,qal,ptca,PreC,verb,V,
28797,Exodus,1,5,Hebrew,JY>,qal,ptca,Subj,subs,S,HJH
28875,Exodus,1,10,Hebrew,FN>,qal,ptca,Cmpl,subs,S,JSP
28961,Exodus,1,15,Hebrew,JLD,piel,ptca,Cmpl,subs,S,>MR
29001,Exodus,1,17,Hebrew,JLD,piel,ptca,Subj,subs,S,JR>
29025,Exodus,1,18,Hebrew,JLD,piel,ptca,Cmpl,subs,S,QR>
29043,Exodus,1,19,Hebrew,JLD,piel,ptca,Subj,subs,S,>MR
29063,Exodus,1,19,Hebrew,JLD,piel,ptca,Subj,subs,S,BW>
29071,Exodus,1,20,Hebrew,JLD,piel,ptca,Cmpl,subs,S,JVB
29084,Exodus,1,21,Hebrew,JLD,piel,ptca,Subj,subs,S,JR>
29196,Exodus,2,5,Hebrew,HLK,qal,ptca,PreC,verb,SV,
29349,Exodus,2,11,Hebrew,NKH,hif,ptca,PreC,verb,V,
29403,Exodus,2,14,Hebrew,CPV,qal,ptca,Cmpl,subs,S,
29409,Exodus,2,14,Hebrew,>MR,qal,ptca,PreC,verb,SV,
