,clause,verb,phrase,cmpl_type,cmpl_func
427771,427771,>MR[,652201,>L,-
427774,427774,>MR[,652212,>L,-
427782,427782,>MR[,652233,>L,-
427807,427807,QR>[,652307,>L,-
427831,427831,>MR[,652368,>L,-
427839,427839,>MR[,652392,>L,-
427855,427855,CWB[,652439,>L,DIR
427858,427858,CWB[,652447,>L,DIR
427890,427890,C<H[,652549,>L,-
427891,427891,C<H[,652551,>L,-
427894,427894,>MR[,652564,>L,-
427903,427903,>MR[,652594,>L,-
427906,427906,QWM[,652602,>L,-
427908,427908,>MR[,652608,>L,-
427915,427915,Y<Q[,652625,>L,DIR
427924,427924,>MR[,652652,>L,-
428071,428071,BW>[,653122,>L,DIR
428120,428120,BW>[,653278,>L,DIR
428126,428126,BW>[,653292,>L,DIR
428130,428130,>SP[,653303,>L,DIR
428136,428136,BW>[,653324,>L,DIR
428151,428151,BW>[,653376,>L,DIR
428161,428161,BW>[,653418,>L,DIR
428223,428223,BW>[,653630,>L,DIR
428230,428230,CWB[,653655,>L,DIR
428253,428253,>MR[,653733,>L,-
428284,428284,>MR[,653825,>L,-
428313,428313,>MR[,653915,>L,-
428505,428505,>MR[,654513,>L,-
428547,428547,>MR[,654646,>L,-
428603,428603,>MR[,654834,>L,-
428625,428625,>MR[,654907,>L,-
428649,428649,XBR[,654975,>L,LOC
428661,428661,BW>[,655010,>L,DIR
428707,428707,>MR[,655143,>L,-
428710,428710,>MR[,655154,>L,-
428754,428754,>MR[,655273,>L,-
428763,428763,>MR[,655292,>L,-
428785,428785,BW>[,655365,>L,DIR
428803,428803,>MR[,655421,>L,-
428806,428806,BW>[,655429,>L,DIR
428812,428812,BW>[,655453,>L,DIR
428817,428817,>MR[,655467,>L,-
428824,428824,>MR[,655487,>L,-
428838,428838,CWB[,655525,>L,DIR
428847,428847,CM<[,655556,>L,-
428853,428853,DBR[,655574,>L,-
428867,428867,>MR[,655619,>L,-
428889,428889,>MR[,655695,>L,-
428904,428904,>MR[,655747,>L,-
428919,428919,>MR[,655794,>L,-
428974,428974,RWY[,655964,>L,DIR
428976,428976,NTN[,655972,>L,-
428984,428984,>MR[,655994,>L,-
428989,428989,CWB[,656005,>L,DIR
429002,429002,>MR[,656042,>L,-
429008,429008,CWB[,656059,>L,DIR
429040,429040,BW>[,656143,>L,DIR
429112,429112,SWR[,656352,>L,DIR
429121,429121,SWR[,656375,>L,DIR
429122,429122,BW>[,656378,>L,DIR
429128,429128,QR>[,656396,>L,-
429131,429131,BW>[,656404,>L,DIR
429162,429162,>MR[,656500,>L,-
429196,429196,>MR[,656594,>L,-
429213,429213,>MR[,656644,>L,-
429246,429246,>MR[,656750,>L,-
429261,429261,>MR[,656794,>L,-
429283,429283,>MR[,656867,>L,-
429287,429287,BW>[,656879,>L,DIR
429292,429292,QRB[,656897,>L,DIR
429301,429301,>MR[,656921,>L,-
429307,429307,NG<[,656940,>L,-
429328,429328,>MR[,657006,>L,-
429395,429395,>MR[,657225,>L,-
429398,429398,>MR[,657233,>L,-
429405,429405,NTN[,657258,>L,-
429421,429421,QR>[,657305,>L,-
429426,429426,CM<[,657318,>L,-
429444,429444,>MR[,657375,>L,-
429467,429467,>MR[,657451,>L,-
429478,429478,CWB[,657487,>L,DIR
429484,429484,>MR[,657510,>L,-
429491,429491,HLK[,657525,>L,DIR
429493,429493,>MR[,657533,>L,-
429499,429499,HLK[,657552,>L,DIR
429504,429504,>MR[,657569,>L,-
429508,429508,CWB[,657582,>L,DIR
429513,429513,>MR[,657601,>L,-
429526,429526,BW>[,657630,>L,DIR
429535,429535,QR>[,657662,>L,-
429541,429541,CLX[,657676,>L,DIR
429557,429557,QR>[,657730,>L,-
429570,429570,CWB[,657770,>L,DIR
429572,429572,HLK[,657776,>L,DIR
429646,429646,CM<[,657974,>L,-
429656,429656,QBR[,658009,>L,LOC
429663,429663,>MR[,658034,>L,-
429670,429670,HLK[,658058,>L,DIR
429672,429672,>MR[,658066,>L,-
429677,429677,>MR[,658085,>L,-
429698,429698,HLK[,658154,>L,DIR
429710,429710,>MR[,658187,>L,-
429749,429749,RWY[,658282,>L,DIR
429768,429768,>MR[,658331,>L,-
429771,429771,>MR[,658339,>L,-
429792,429792,BW>[,658398,>L,DIR
429824,429824,HLK[,658488,>L,DIR
429826,429826,>MR[,658496,>L,-
429828,429828,>MR[,658504,>L,-
429834,429834,BW>[,658525,>L,DIR
429837,429837,BW>[,658538,>L,DIR
429847,429847,>MR[,658563,>L,-
429849,429849,>MR[,658570,>L,-
429860,429860,>MR[,658601,>L,-
429914,429914,>MR[,658747,>L,-
429923,429923,>MR[,658771,>L,-
429950,429950,>MR[,658847,>L,-
429985,429985,QBR[,658954,>L,LOC
430054,430054,>MR[,659156,>L,-
430081,430081,>MR[,659241,>L,-
430112,430112,>MR[,659336,>L,-
430135,430135,>MR[,659409,>L,-
430178,430178,>MR[,659552,>L,-
430179,430179,BW>[,659556,>L,DIR
430217,430217,>MR[,659673,>L,-
430219,430219,>MR[,659677,>L,-
430239,430239,>MR[,659731,>L,-
430252,430252,HLK[,659763,>L,DIR
430259,430259,>MR[,659787,>L,-
430283,430283,BW>[,659858,>L,DIR
430290,430290,>MR[,659871,>L,-
430298,430298,>MR[,659890,>L,-
430304,430304,>MR[,659904,>L,-
430310,430310,NGC[,659919,>L,DIR
430330,430330,>MR[,659970,>L,-
430400,430400,>MR[,660166,>L,-
430409,430409,>MR[,660185,>L,-
430425,430425,>MR[,660234,>L,-
430441,430441,>MR[,660278,>L,-
430445,430445,QR>[,660294,>L,-
430470,430470,CM<[,660372,>L,-
430474,430474,HLK[,660386,>L,DIR
430531,430531,CWB[,660564,>L,DIR
430623,430623,>MR[,660840,>L,-
430626,430626,BW>[,660848,>L,DIR
430632,430632,BW>[,660868,>L,DIR
430637,430637,>MR[,660885,>L,-
430689,430689,>MR[,661057,>L,-
430699,430699,BW>[,661084,>L,DIR
430703,430703,BW>[,661099,>L,DIR
430734,430734,>MR[,661204,>L,-
430746,430746,BW>[,661238,>L,DIR
430749,430749,CM<[,661252,>L,-
430766,430766,CM<[,661312,>L,-
430777,430777,>MR[,661345,>L,-
430779,430779,HLK[,661349,>L,DIR
430785,430785,>MR[,661366,>L,-
430792,430792,>MR[,661387,>L,-
430838,430838,JXM[,661520,>L,LOC
430841,430841,NTN[,661532,>L,?
430862,430862,>MR[,661601,>L,-
430863,430863,CWB[,661603,>L,DIR
430891,430891,>MR[,661698,>L,-
430907,430907,CWB[,661741,>L,DIR
430919,430919,>MR[,661777,>L,-
430925,430925,BW>[,661796,final_h,DIR
430943,430943,BW>[,661854,>L,DIR
430965,430965,>MR[,661923,>L,-
430994,430994,>MR[,662007,>L,-
431032,431032,>MR[,662119,>L,-
431075,431075,<BR[,662243,>L,DIR
431076,431076,<BR[,662250,>L,DIR
431095,431095,CLX[,662316,final_h,DIR
431106,431106,CWB[,662346,>L,DIR
431108,431108,BW>[,662349,>L,DIR
431117,431117,BW>[,662375,>L,DIR
431122,431122,>MR[,662388,>L,-
431143,431143,>MR[,662453,>L,-
431194,431194,>MR[,662589,>L,-
431275,431275,>MR[,662818,>L,-
431284,431284,BW>[,662847,final_h,DIR
431314,431314,>MR[,662947,>L,-
431322,431322,JY>[,662971,>L,DIR
431344,431344,>MR[,663036,>L,-
431347,431347,>MR[,663043,>L,-
431350,431350,>MR[,663053,>L,-
431355,431355,>MR[,663071,>L,-
431368,431368,CM<[,663113,>L,-
431377,431377,BW>[,663140,>L,DIR
431397,431397,CM<[,663195,>L,-
431418,431418,>MR[,663256,>L,-
431427,431427,>MR[,663281,>L,-
431434,431434,>MR[,663301,>L,-
431446,431446,NTN[,663335,>L,-
431528,431528,BW>[,663589,>L,DIR
431548,431548,HLK[,663653,>L,DIR
431655,431655,>MR[,663955,>L,-
431684,431684,>MR[,664056,>L,-
431687,431687,CLX[,664065,>L,DIR
431713,431713,QRB[,664134,>L,DIR
431731,431731,>MR[,664176,>L,-
431739,431739,BW>[,664201,>L,DIR
431754,431754,>MR[,664244,>L,-
431769,431769,CWB[,664290,>L,DIR
431772,431772,CWB[,664301,>L,DIR
431801,431801,JRD[,664371,>L,DIR
431812,431812,BW>[,664409,>L,DIR
431829,431829,BW>[,664465,>L,DIR
431835,431835,BW>[,664485,>L,DIR
431870,431870,BW>[,664589,>L,DIR
431875,431875,BW>[,664603,>L,DIR
431888,431888,BW>[,664633,>L,DIR
431903,431903,CWB[,664675,>L,DIR
431922,431922,CLX[,664727,>L,DIR
431982,431982,NF>[,664912,>L,?
431986,431986,>MR[,664921,>L,-
431999,431999,CM<[,664965,>L,-
432022,432022,BW>[,665021,>L,DIR
432033,432033,BW>[,665050,>L,DIR
432036,432036,BW>[,665057,>L,DIR
432051,432051,NTN[,665099,>L,DIR
432055,432055,NVH[,665112,>L,-
432078,432078,BW>[,665193,>L,DIR
432085,432085,>MR[,665215,>L,-
432088,432088,>MR[,665223,>L,-
432101,432101,FXV[,665265,>L,DIR
432121,432121,>MR[,665332,>L,-
432190,432190,BW>[,665554,>L,DIR
432191,432191,>MR[,665558,>L,-
432210,432210,BW>[,665614,>L,DIR
432212,432212,BW>[,665620,>L,DIR
432220,432220,>MR[,665647,>L,-
432223,432223,>MR[,665655,>L,-
432267,432267,>MR[,665785,>L,-
432270,432270,>MR[,665796,>L,-
432276,432276,>MR[,665816,>L,-
432288,432288,>MR[,665855,>L,-
432325,432325,HLK[,665986,>L,DIR
432367,432367,>MR[,666110,>L,-
432376,432376,>MR[,666135,>L,-
432380,432380,>MR[,666143,>L,-
432389,432389,>MR[,666162,>L,-
432400,432400,>MR[,666185,>L,-
432418,432418,>SP[,666231,>L,DIR
432419,432419,>MR[,666235,>L,-
432437,432437,BW>[,666287,>L,DIR
432440,432440,>MR[,666297,>L,-
432451,432451,CWB[,666326,>L,DIR
432467,432467,>MR[,666382,>L,-
432475,432475,BW>[,666403,final_h,DIR
432482,432482,>MR[,666423,>L,-
432491,432491,>MR[,666442,>L,-
432508,432508,>MR[,666494,>L,-
432516,432516,>MR[,666512,>L,-
432534,432534,>MR[,666567,>L,-
432537,432537,>MR[,666575,>L,-
432548,432548,>MR[,666608,>L,-
432564,432564,>MR[,666656,>L,-
432577,432577,>MR[,666694,>L,-
432588,432588,CWB[,666728,>L,DIR
432618,432618,NGC[,666821,>L,DIR
432626,432626,BW>[,666841,>L,DIR
432639,432639,BW>[,666880,>L,DIR
