,clause,verb,phrase,cmpl_type,cmpl_func
461399,461399,QRB[,754169,>L,DIR
461423,461423,BW>[,754245,>L,DIR
461444,461444,>MR[,754297,>L,-
461453,461453,BW>[,754324,>L,DIR
461506,461506,NWS[,754492,>L,DIR
461509,461509,NWS[,754502,>L,DIR
461515,461515,BW>[,754517,>L,DIR
461516,461516,>MR[,754520,>L,-
461565,461565,BRX[,754672,>L,DIR
461580,461580,>MR[,754716,>L,-
461588,461588,>MR[,754737,>L,-
461593,461593,>MR[,754752,>L,-
461649,461649,>MR[,754922,>L,-
461676,461676,BW>[,755014,>L,DIR
461727,461727,>MR[,755161,>L,-
461826,461826,CLX[,755434,>L,DIR
461832,461832,CLX[,755451,>L,DIR
461866,461866,CLX[,755547,>L,DIR
461869,461869,CLX[,755552,>L,DIR
461873,461873,CLX[,755569,>L,DIR
461947,461947,HJH[,755788,>L,DIR
462000,462000,NG<[,755956,>L,?
462065,462065,BW>[,756159,>L,DIR
462209,462209,PRF[,756586,>L,DIR
462249,462249,>MR[,756706,>L,-
462298,462298,PNH[,756850,>L,DIR
462300,462300,CM<[,756853,>L,-
462302,462302,PTX[,756862,>L,-
462306,462306,CM<[,756871,>L,-
462308,462308,CM<[,756878,>L,-
462310,462310,CM<[,756885,>L,-
462326,462326,CWB[,756931,>L,DIR
462359,462359,PRF[,757022,>L,DIR
462376,462376,QR>[,757079,>L,-
462394,462394,CBH[,757138,>L,DIR
462403,462403,CWB[,757159,>L,DIR
462419,462419,PTX[,757211,>L,-
462421,462421,QR>[,757216,>L,-
462448,462448,HJH[,757296,>L,DIR
462486,462486,>MR[,757403,>L,-
462591,462591,BW>[,757731,>L,DIR
462601,462601,>MR[,757770,>L,-
462679,462679,>MR[,758035,>L,-
462744,462744,>MR[,758264,>L,-
462746,462746,HLK[,758268,>L,DIR
462750,462750,HLK[,758282,>L,DIR
462859,462859,>MR[,758626,>L,-
462861,462861,CWB[,758632,>L,DIR
462881,462881,>MR[,758690,>L,-
462903,462903,BW>[,758758,>L,DIR
462906,462906,CWB[,758765,>L,DIR
462916,462916,CM<[,758802,>L,-
462921,462921,CM<[,758820,>L,-
462946,462946,QR>[,758888,>L,-
462954,462954,HJH[,758915,>L,?
462956,462956,>MR[,758918,>L,-
462975,462975,CWB[,758974,>L,DIR
462977,462977,CWB[,758979,>L,DIR
462980,462980,>MR[,758988,>L,-
463042,463042,>MR[,759169,>L,-
463045,463045,CWB[,759179,>L,DIR
463047,463047,CWB[,759187,>L,DIR
463053,463053,>MR[,759207,>L,-
463080,463080,>MR[,759296,>L,-
463087,463087,>MR[,759316,>L,-
463092,463092,>MR[,759328,>L,-
463119,463119,JCB[,759410,>L,-
