,clause,verb,phrase,cmpl_type
433673,433673,>MR[,669919,L
433706,433706,DLH[,670005,L
433711,433711,QR>[,670018,L
433789,433789,>MR[,670252,L
433791,433791,>MR[,670258,L
433798,433798,>MR[,670275,L
433816,433816,CM<[,670325,L
433822,433822,ZBX[,670344,L
433862,433862,>MR[,670464,L
433876,433876,CM<[,670506,L
433880,433880,CM<[,670519,L
433927,433927,>MR[,670661,L
433933,433933,>MR[,670677,L
433979,433979,NCQ[,670802,L
433998,433998,XGG[,670861,L
434008,434008,ZBX[,670891,L
434013,434013,HLK[,670905,L
434032,434032,ZBX[,670957,L
434059,434059,<FH[,671036,L
434070,434070,ZBX[,671063,L
434100,434100,<FH[,671142,L
434116,434116,>MR[,671192,L
434173,434173,>MR[,671370,L
434226,434226,QR>[,671538,L
434319,434319,QR>[,671821,L
434324,434324,ZBX[,671835,L
434325,434325,>MR[,671839,L
434340,434340,FJM[,671878,L
434396,434396,ZBX[,672058,L
434401,434401,ZBX[,672070,L
434405,434405,ZBX[,672083,L
434409,434409,ZBX[,672095,L
434420,434420,ZBX[,672126,L
434461,434461,<MD[,672263,L
434466,434466,<MD[,672280,L
434526,434526,QR>[,672478,L
434643,434643,QR>[,672833,L
434645,434645,XV>[,672837,L
434677,434677,<FH[,672941,L
434688,434688,>MR[,672973,L
434805,434805,QR>[,673369,L
434827,434827,NTN[,673437,L
434852,434852,QR>[,673511,L
434935,434935,NTN[,673761,L
434944,434944,<FH[,673795,L
435007,435007,>MR[,673996,L
435057,435057,<FH[,674143,L
435108,435108,PNH[,674322,L
435128,435128,CJR[,674392,L
435192,435192,P<L[,674530,L
435202,435202,<NH==[,674566,L
435203,435203,CJR[,674569,L
435225,435225,CM<[,674640,L
435283,435283,QRB[,674806,L
435414,435414,>MR[,675184,L
435417,435417,YM>[,675196,L
435428,435428,<BR[,675226,L
435453,435453,>MR[,675306,L
435483,435483,<FH[,675403,L
435503,435503,NCQ[,675462,L
435504,435504,C>L[,675467,L
435508,435508,<FH[,675479,L
435513,435513,<FH[,675495,L
435537,435537,>MR[,675575,L
435575,435575,CM<[,675691,L
435594,435594,>MR[,675758,L
435597,435597,<FH[,675766,L
435609,435609,QR>[,675807,L
435670,435670,QR>[,675997,L
435774,435774,FJM[,676312,L
435799,435799,MCL[,676394,L
435803,435803,<FH[,676406,L
435831,435831,NPL[,676490,L
436026,436026,<ZB[,677088,L
436053,436053,XGG[,677179,L
436076,436076,NF>[,677255,L
436083,436083,HLK[,677277,L
436335,436335,<FH[,678078,L
436567,436567,<FH[,678831,L
436671,436671,<FH[,679175,L
436743,436743,NTN[,679401,L
436884,436884,HLK[,679802,L
436925,436925,ZBX[,679909,L
436951,436951,ZKR[,679976,L
436960,436960,<FH[,680003,L
436998,436998,>MR[,680111,L
437000,437000,HLK[,680117,L
437005,437005,>MR[,680130,L
437008,437008,NTN[,680136,L
437019,437019,>MR[,680170,L
437052,437052,XV>[,680269,L
437059,437059,HLK[,680283,L
437092,437092,NVH[,680382,L
437214,437214,SLX[,680743,L
437224,437224,CMR[,680774,L
437240,437240,ZBX[,680825,L
437241,437241,QR>[,680828,L
437302,437302,BW>[,681027,L
437463,437463,<FH[,681488,L
437477,437477,<FH[,681536,L
438091,438091,<FH[,683480,L
438092,438092,<FH[,683483,L
438093,438093,<FH[,683486,L
438176,438176,>CM[,683756,L
438178,438178,>CM[,683761,L
438242,438242,>CM[,683980,L
438484,438484,NTN[,684655,L
438606,438606,QR>[,685068,L
438621,438621,<MD[,685108,L
439577,439577,<FH[,688110,L
439581,439581,<FH[,688124,L
439693,439693,>MR[,688486,L
439706,439706,>MR[,688522,L
439788,439788,<MD[,688747,L
439876,439876,>HB[,689012,L
439933,439933,>HB[,689195,L
440046,440046,>MR[,689524,L
440171,440171,VM>[,689883,L
440378,440378,NTN[,690508,L
440384,440384,FMX[,690527,L
440425,440425,PRC[,690663,L
440515,440515,MKR[,690932,L
440555,440555,MKR[,691068,L
440556,440556,CWB[,691071,L
440562,440562,CWB[,691093,L
440569,440569,ML>[,691112,L
440682,440682,NPL[,691482,L
440685,440685,NPL[,691496,L
440702,440702,CM<[,691559,L
440720,440720,CM<[,691619,L
440731,440731,CM<[,691659,L
440752,440752,CM<[,691741,L
440890,440890,QWM[,692216,L
441106,441106,XNH[,692790,L
441373,441373,>CM[,693556,L
441385,441385,NTN[,693590,L
441434,441434,>MR[,693759,L
441553,441553,>MR[,694146,L
441588,441588,NTN[,694247,L
441769,441769,<FH[,694680,L
441810,441810,<FH[,694822,L
441812,441812,<FH[,694831,L
441821,441821,<FH[,694864,L
441833,441833,<FH[,694897,L
441850,441850,QRB[,694957,L
441983,441983,>MR[,695371,L
442069,442069,NTN[,695629,L
442100,442100,VWB[,695726,L
442113,442113,BKH[,695765,L
442123,442123,MY>[,695793,L
442125,442125,MY>[,695800,L
442159,442159,>MR[,695898,L
442171,442171,CVX[,695942,L
442229,442229,RP>[,696122,L
442333,442333,JKL[,696428,L
442426,442426,SLX[,696703,L
442458,442458,<FH[,696808,L
442547,442547,<FH[,697082,L
442646,442646,QWM[,697403,L
442684,442684,<MD[,697501,L
442694,442694,QR>[,697525,L
442705,442705,XRH[,697556,L
442777,442777,NWS[,697779,L
442928,442928,NTN[,698247,L
442966,442966,>MR[,698379,L
442973,442973,NTN[,698401,L
443110,443110,>MR[,698865,L
443122,443122,NTN[,698907,L
443168,443168,NTN[,699050,L
443251,443251,>MR[,699315,L
443257,443257,<NH==[,699329,L
443321,443321,<FH[,699508,L
443322,443322,<FH[,699511,L
443330,443330,<FH[,699539,L
443340,443340,QR>[,699576,L
443397,443397,>MR[,699733,L
443418,443418,>MR[,699796,L
443420,443420,QR>[,699799,L
443459,443459,>MR[,699918,L
443462,443462,>MR[,699929,L
443470,443470,<FH[,699957,L
443482,443482,JRV[,699996,L
443484,443484,NVH[,700002,L
443495,443495,CWB[,700034,L
443510,443510,QR>[,700076,L
443537,443537,>MR[,700163,L
443605,443605,>MR[,700363,L
443728,443728,<FH[,700696,L
443773,443773,CWB[,700815,L
443774,443774,HLK[,700819,L
443973,443973,>MR[,701310,L
443980,443980,<MD[,701330,L
444015,444015,NTN[,701455,L
444025,444025,JY>[,701488,L
444026,444026,BW>[,701492,L
444039,444039,<MD[,701538,L
444056,444056,>MR[,701591,L
444210,444210,SLX[,702067,L
444227,444227,SLX[,702120,L
444243,444243,SLX[,702172,L
444394,444394,>MR[,702651,L
444395,444395,BW>[,702655,L
444399,444399,NTN[,702668,L
444407,444407,NTN[,702691,L
444450,444450,XV>[,702838,L
444516,444516,XNH[,703060,L
444636,444636,<FH[,703440,L
444637,444637,<FH[,703442,L
444678,444678,NTN[,703593,L
444714,444714,NTN[,703692,L
444722,444722,NTN[,703721,L
444727,444727,NTN[,703734,L
444732,444732,NTN[,703752,L
444885,444885,NS<[,704250,L
444894,444894,NTN[,704270,L
445004,445004,NTN[,704585,L
445029,445029,XV>[,704655,L
445039,445039,>MR[,704677,L
445104,445104,<FH[,704890,L
445105,445105,NTN[,704894,L
445136,445136,<FH[,704986,L
445169,445169,<FH[,705072,L
445187,445187,JY>[,705121,L
445206,445206,JY>[,705178,L
445211,445211,<FH[,705193,L
445212,445212,<FH[,705196,L
445222,445222,<FH[,705231,L
445251,445251,<BR[,705324,L
445256,445256,NTN[,705335,L
445262,445262,NTN[,705356,L
445267,445267,<FH[,705369,L
445268,445268,<FH[,705373,L
445297,445297,<BR[,705455,L
445445,445445,C>L[,705898,L
445457,445457,<FH[,705938,L
445481,445481,JVB[,706007,L
445494,445494,FJM[,706055,L
445555,445555,JVB[,706243,L
445607,445607,JVB[,706398,L
445609,445609,>MR[,706402,L
445610,445610,CWB[,706405,L
445625,445625,VWB[,706445,L
445642,445642,JVB[,706489,L
445665,445665,NTN[,706554,L
445689,445689,JVB[,706621,L
445699,445699,>MR[,706650,L
445710,445710,VWB[,706686,L
445734,445734,<FH[,706762,L
445774,445774,NTN[,706878,L
445794,445794,<FH[,706939,L
445798,445798,<FH[,706950,L
445818,445818,LQX[,707014,L
445870,445870,NTN[,707166,L
445880,445880,RBH[,707193,L
445992,445992,XV>[,707515,L
446018,446018,DQQ[,707595,L
446026,446026,NTN[,707620,L
446042,446042,ZKR[,707666,L
446083,446083,<MD[,707795,L
446096,446096,HLK[,707836,L
446100,446100,NTN[,707846,L
446111,446111,VWB[,707873,L
446146,446146,<FH[,707981,L
446147,446147,<FH[,707985,L
446151,446151,<FH[,707999,L
446153,446153,<FH[,708006,L
446170,446170,NTN[,708054,L
446218,446218,NTN[,708203,L
446266,446266,NTN[,708349,L
446277,446277,<FH[,708389,L
446304,446304,NDR[,708477,L
446318,446318,NTN[,708521,L
446342,446342,NTN[,708595,L
446356,446356,JVB[,708633,L
446369,446369,JVB[,708670,L
446381,446381,DRC[,708707,L
446385,446385,<FH[,708720,L
446430,446430,>BH[,708853,L
446535,446535,MKR[,709139,L
446604,446604,XSR[,709365,L
446610,446610,NTN[,709382,L
446613,446613,NTN[,709393,L
446628,446628,NTN[,709447,L
446638,446638,VWB[,709476,L
446664,446664,ZBX[,709565,L
