,clause,verb,phrase,cmpl_type
455796,455796,ZBX[,737220,L
455801,455801,MCX[,737233,L
455813,455813,ZBX[,737258,L
455829,455829,R>H[,737300,L
455830,455830,R>H[,737304,L
455895,455895,<MD[,737493,L
455900,455900,<MD[,737509,L
455906,455906,RWX[,737528,L
455934,455934,>MR[,737613,L
455945,455945,JKL[,737646,L
455975,455975,>MR[,737738,L
456027,456027,>MR[,737888,L
456223,456223,XRH[,738467,L
456245,456245,BW>[,738546,L
456294,456294,>MR[,738706,L
456343,456343,XV>[,738862,L
456356,456356,QR>[,738905,L
456416,456416,<FH[,739088,L
456458,456458,>MR[,739201,L
456463,456463,>MR[,739214,L
456483,456483,<FH[,739275,L
456499,456499,XRH[,739321,L
456528,456528,<FH[,739415,L
456549,456549,>MR[,739483,L
456563,456563,>MR[,739524,L
456570,456570,>MR[,739543,L
456607,456607,>MR[,739662,L
456633,456633,>MR[,739746,L
456654,456654,>MR[,739810,L
456659,456659,NPL[,739822,final_h
456666,456666,>MR[,739840,L
456677,456677,>MR[,739871,L
456680,456680,>MR[,739882,L
456697,456697,>MR[,739936,L
456714,456714,>MR[,739990,L
456734,456734,<NH==[,740054,L
456779,456779,>MR[,740206,L
456829,456829,>MR[,740357,L
456840,456840,>MR[,740389,L
456853,456853,>MR[,740434,L
456950,456950,HLK[,740731,L
457026,457026,<FH[,740945,L
457035,457035,>MR[,740972,L
457054,457054,>MR[,741029,L
457074,457074,XV>[,741086,L
457110,457110,<FH[,741202,L
457124,457124,SPD[,741248,L
457142,457142,>MR[,741306,L
457178,457178,VBX[,741406,L
457179,457179,NTN[,741409,L
457182,457182,HPK[,741418,L
457186,457186,>MR[,741430,L
457217,457217,>MR[,741517,L
457218,457218,<BR[,741519,L
457233,457233,<FH[,741567,L
457271,457271,NF>[,741675,L
457290,457290,>MR[,741746,L
457311,457311,>MR[,741796,L
457312,457312,<LH[,741800,L
457400,457400,CNH[,742089,L
457419,457419,HLK[,742144,L
457504,457504,HLK[,742382,L
457505,457505,CWB[,742386,L
457568,457568,SPD[,742596,L
457581,457581,>MR[,742643,L
457616,457616,>MR[,742747,L
457622,457622,>MR[,742764,L
457636,457636,YRR[,742799,L
457640,457640,QR>[,742816,L
457647,457647,<FH[,742836,L
457680,457680,CM<[,742953,L
457706,457706,>MR[,743037,L
457750,457750,>WR[,743179,L
457765,457765,HLK[,743222,L
457775,457775,YRR[,743252,L
457788,457788,>MR[,743291,L
457810,457810,>MR[,743358,L
457844,457844,LQX[,743459,L
457872,457872,NTN[,743536,L
457909,457909,>MR[,743659,L
457945,457945,<FH[,743770,L
457966,457966,>MR[,743835,L
457992,457992,>MR[,743913,L
458027,458027,QR>[,744006,L
458067,458067,YRR[,744114,L
458069,458069,N<M[,744118,L
458150,458150,>MR[,744362,L
458185,458185,>MR[,744474,L
458231,458231,XRH[,744622,L
458238,458238,<FH[,744648,L
458242,458242,<FH[,744661,L
458342,458342,HRG[,744958,L
458348,458348,SPD[,744977,L
458359,458359,NPL[,745015,L
458367,458367,<FH[,745035,L
458427,458427,>MR[,745223,L
458457,458457,>MR[,745314,L
458469,458469,>MR[,745358,L
458535,458535,JY>[,745564,L
458563,458563,XRH[,745659,L
458592,458592,BZH[,745762,L
458595,458595,NVH[,745773,L
458601,458601,HLK[,745798,L
458653,458653,>MR[,745949,L
458693,458693,JCB[,746082,L
458771,458771,<ZR[,746308,L
458827,458827,>MR[,746502,L
458840,458840,>MR[,746538,L
458927,458927,NGC[,746825,L
458973,458973,DRC[,746965,L
458991,458991,C>L[,747022,L
458992,458992,>MR[,747026,L
458993,458993,JRD[,747028,L
459018,459018,QR>[,747112,L
459051,459051,>MR[,747204,L
459092,459092,>MR[,747339,L
459106,459106,BW>[,747381,L
459109,459109,<FH[,747387,L
459145,459145,NTN[,747507,L
459150,459150,XV>[,747526,L
459159,459159,JLD[,747559,L
459257,459257,<FH[,747841,L
459263,459263,YRR[,747860,L
459271,459271,>MR[,747884,L
459275,459275,>MR[,747897,L
459277,459277,>MR[,747904,L
459322,459322,>MR[,748034,L
459326,459326,>MR[,748041,L
459347,459347,>MR[,748099,L
459350,459350,>MR[,748105,L
459356,459356,CM<[,748116,L
459382,459382,XRH[,748198,L
459389,459389,QR>[,748226,L
459406,459406,>MR[,748275,L
459422,459422,<FH[,748321,L
459496,459496,>MR[,748533,L
459517,459517,HLK[,748594,L
459662,459662,NCQ[,749034,L
459691,459691,NCQ[,749119,L
459692,459692,<FH[,749124,L
459699,459699,NDR[,749147,L
459705,459705,>MR[,749166,L
459726,459726,>MR[,749228,L
459788,459788,>MR[,749401,L
459796,459796,<FH[,749423,L
459828,459828,>MR[,749512,L
459832,459832,>MR[,749527,L
459871,459871,>MR[,749641,L
459903,459903,>MR[,749728,L
459913,459913,>MR[,749759,L
459942,459942,<BD[,749846,L
459944,459944,<BD[,749854,L
460066,460066,>MR[,750228,L
460162,460162,>MR[,750523,L
460207,460207,>MR[,750672,L
460212,460212,>MR[,750692,L
460228,460228,>MR[,750735,L
460331,460331,R<<[,751023,L
460338,460338,BW>[,751047,L
460363,460363,>MR[,751115,L
460365,460365,<FH[,751123,L
460389,460389,NPL[,751195,L
460427,460427,>MR[,751312,L
460447,460447,>MR[,751374,L
460479,460479,<FH[,751490,L
460483,460483,<FH[,751503,L
460489,460489,NCQ[,751524,L
460491,460491,CWB[,751529,L
460502,460502,XRH[,751571,L
460541,460541,R<<[,751697,L
460551,460551,BW>[,751729,L
460557,460557,>MR[,751748,L
460561,460561,NCQ[,751758,L
460566,460566,CNH[,751777,L
460608,460608,>MR[,751891,L
460654,460654,QR>[,752022,L
460667,460667,>MR[,752058,L
460687,460687,JLD[,752113,L
460689,460689,JLD[,752118,L
460722,460722,<ZR[,752235,L
460727,460727,JY>[,752251,L
460768,460768,XRH[,752372,L
461033,461033,JY>[,753047,L
461067,461067,<FH[,753146,L
461070,461070,>MR[,753156,L
461079,461079,YRR[,753189,L
461088,461088,>MR[,753223,L
461103,461103,>MR[,753267,L
461142,461142,XMM[,753393,L
461143,461143,>MR[,753396,L
461145,461145,<MD[,753403,L
461148,461148,XMM[,753413,L
461202,461202,>MR[,753584,L
461212,461212,QR>[,753614,L
461213,461213,QR>[,753616,L
461228,461228,BW>[,753655,L
461237,461237,QR>[,753682,L
461242,461242,QR>[,753694,L
461249,461249,BW>[,753719,L
461250,461250,<MD[,753722,L
461267,461267,QR>[,753771,L
461268,461268,BW>[,753774,L
461269,461269,>MR[,753778,L
461317,461317,>MR[,753924,L
461364,461364,>MR[,754066,L
461365,461365,HLK[,754069,L
461384,461384,HLK[,754117,L
461388,461388,<FH[,754131,L
461389,461389,<FH[,754135,L
461413,461413,<FH[,754207,L
461447,461447,>MR[,754303,L
461460,461460,JCB[,754344,L
461464,461464,>MR[,754356,L
461471,461471,>MR[,754375,L
461479,461479,<FH[,754401,L
461492,461492,>MR[,754441,L
461526,461526,>MR[,754545,L
461548,461548,QR>[,754618,L
461549,461549,>MR[,754621,L
461559,461559,>MR[,754652,L
461579,461579,QR>[,754713,L
461596,461596,<FH[,754761,L
461626,461626,HLK[,754858,L
461654,461654,C>L[,754942,L
461661,461661,NTN[,754969,L
461672,461672,<MD[,755000,L
461677,461677,<MD[,755017,L
461882,461882,NTN[,755599,L
461914,461914,BNH[,755695,L
461965,461965,BNH[,755847,L
462082,462082,<FH[,756204,L
462268,462268,<MD[,756766,L
462275,462275,CMR[,756788,L
462282,462282,CMR[,756803,L
462288,462288,HLK[,756821,L
462289,462289,HLK[,756824,L
462313,462313,XV>[,756893,L
462316,462316,BW>[,756902,L
462323,462323,NTN[,756921,L
462325,462325,XV>[,756928,L
462331,462331,SLX[,756947,L
462333,462333,NTN[,756953,L
462336,462336,XV>[,756962,L
462342,462342,SLX[,756980,L
462363,462363,NTN[,757033,L
462368,462368,NTN[,757052,L
462386,462386,BNH[,757112,L
462389,462389,XV>[,757122,L
462406,462406,NTN[,757171,L
462408,462408,BNH[,757177,L
462411,462411,SLX[,757187,L
462412,462412,XV>[,757190,L
462461,462461,ZBX[,757331,L
462476,462476,HLK[,757375,L
462478,462478,<FH[,757381,L
462494,462494,HLK[,757426,L
462505,462505,NTN[,757462,L
462510,462510,NTN[,757477,L
462519,462519,<FH[,757505,L
462533,462533,NTN[,757553,L
462537,462537,NTN[,757565,L
462573,462573,BNH[,757670,L
462576,462576,BNH[,757682,L
462623,462623,NTN[,757836,L
462631,462631,NTN[,757869,L
462633,462633,HLK[,757875,L
462635,462635,BW>[,757882,L
462695,462695,<FH[,758099,L
462705,462705,>MR[,758131,L
462734,462734,>MR[,758220,L
462747,462747,>MR[,758271,L
462786,462786,>MR[,758398,L
462807,462807,BXR[,758474,L
462823,462823,BNH[,758519,L
462850,462850,QR>[,758603,L
462891,462891,>MR[,758718,L
462930,462930,HLK[,758841,L
462972,462972,CWB[,758964,L
462989,462989,HLK[,759014,L
463107,463107,>MR[,759375,L
463204,463204,>MR[,759655,L
463240,463240,>MR[,759753,L
463273,463273,HLK[,759843,L
463276,463276,SPD[,759852,L
463287,463287,NTN[,759894,L
463300,463300,SPD[,759932,L
463351,463351,<FH[,760098,L
463586,463586,<MD[,760832,L
463647,463647,<FH[,760998,L
463734,463734,>MR[,761258,L
463737,463737,>MR[,761262,L
463754,463754,>MR[,761301,L
463774,463774,>MR[,761353,L
463779,463779,<MD[,761365,L
463832,463832,>MR[,761522,L
463839,463839,NTN[,761544,L
463869,463869,>MR[,761624,L
463920,463920,>MR[,761758,L
463926,463926,>MR[,761776,L
463963,463963,RWY[,761865,L
463993,463993,>MR[,761952,L
464015,464015,>MR[,762008,L
464070,464070,KR<[,762163,L
464071,464071,NCQ[,762167,L
464082,464082,NCQ[,762200,L
464084,464084,>MR[,762206,L
464092,464092,NTN[,762227,L
464102,464102,>MR[,762256,L
464126,464126,QR>[,762312,L
464136,464136,>MR[,762342,L
464137,464137,>MR[,762344,L
464146,464146,<FH[,762370,L
464148,464148,FPQ=[,762378,L
464206,464206,>MR[,762531,L
464227,464227,CM<[,762594,L
464297,464297,>MR[,762802,L
464370,464370,>MR[,763026,L
464425,464425,NTN[,763177,L
464602,464602,<MD[,763676,L
464666,464666,>MR[,763851,L
464872,464872,>MR[,764448,L
464889,464889,>MR[,764494,L
464993,464993,>MR[,764794,L
465042,465042,QR>[,764928,L
465057,465057,>MR[,764974,L
465059,465059,QR>[,764980,L
465063,465063,<MD[,764991,L
465132,465132,CWB[,765199,L
465197,465197,QR>[,765379,L
465198,465198,QR>[,765382,L
465199,465199,<MD[,765385,L
465200,465200,>MR[,765388,L
465204,465204,<FH[,765398,L
465211,465211,<FH[,765414,L
465216,465216,QR>[,765428,L
465217,465217,QR>[,765431,L
465259,465259,<YR[,765540,L
465261,465261,>MR[,765544,L
465270,465270,>MR[,765568,L
465282,465282,MRR[,765600,L
465289,465289,>MR[,765623,L
465304,465304,<BR[,765665,L
465347,465347,>MR[,765787,L
465357,465357,JYQ[,765818,L
465371,465371,JYQ[,765847,L
465377,465377,NTN[,765866,L
465382,465382,NTN[,765879,L
465387,465387,NTN[,765891,L
465446,465446,CWB[,766060,L
465477,465477,<MD[,766148,L
465486,465486,<MD[,766172,L
465503,465503,>MR[,766223,L
465532,465532,NF>[,766301,L
465600,465600,>MR[,766488,L
465708,465708,>MR[,766772,L
465728,465728,<FH[,766830,L
465836,465836,<FH[,767127,L
465899,465899,QR>[,767308,L
465923,465923,C>L[,767383,L
465947,465947,<MD[,767446,L
465954,465954,>MR[,767462,L
465979,465979,>MR[,767532,L
465982,465982,>MR[,767540,L
466001,466001,>MR[,767598,L
466012,466012,NWS[,767633,L
466029,466029,HLK[,767690,L
466038,466038,QR>[,767719,L
466039,466039,>MR[,767722,L
466071,466071,>MR[,767804,L
466086,466086,>MR[,767850,L
466263,466263,<MD[,768317,L
466374,466374,>MR[,768641,L
466390,466390,>MR[,768683,L
466412,466412,<FH[,768744,L
466550,466550,QR>[,769166,L
466585,466585,NTN[,769279,L
466597,466597,CLX[,769316,L
466660,466660,>MR[,769524,L
466663,466663,>MR[,769534,L
466681,466681,>MR[,769577,L
466887,466887,NTN[,770224,L
467041,467041,XV>[,770724,L
467056,467056,>MR[,770778,L
467116,467116,>MR[,770970,L
467163,467163,ZBX[,771132,L
467168,467168,ZBX[,771146,L
467170,467170,KTB[,771152,L
467275,467275,>MR[,771472,L
467367,467367,>MR[,771753,L
467375,467375,CWB[,771779,L
467396,467396,<FH[,771834,L
467440,467440,BWZ[,771947,L
467441,467441,L<G[,771949,L
467556,467556,RP>[,772274,L
467651,467651,NTN[,772565,L
467779,467779,>MR[,772954,L
467853,467853,NTN[,773188,L
467867,467867,BNH[,773227,L
467906,467906,<FH[,773334,L
467970,467970,NTN[,773550,L
468082,468082,<FH[,773923,L
468110,468110,>MR[,774015,L
468114,468114,JVB[,774026,L
427771,427771,>MR[,652201,>L
427774,427774,>MR[,652212,>L
427782,427782,>MR[,652233,>L
427807,427807,QR>[,652307,>L
427831,427831,>MR[,652368,>L
427839,427839,>MR[,652392,>L
427858,427858,CWB[,652447,>L
427890,427890,C<H[,652549,>L
427891,427891,C<H[,652551,>L
427894,427894,>MR[,652564,>L
427903,427903,>MR[,652594,>L
427906,427906,QWM[,652602,>L
427908,427908,>MR[,652608,>L
427924,427924,>MR[,652652,>L
428071,428071,BW>[,653122,>L
428120,428120,BW>[,653278,>L
428126,428126,BW>[,653292,>L
428130,428130,>SP[,653303,>L
428136,428136,BW>[,653324,>L
428151,428151,BW>[,653376,>L
428161,428161,BW>[,653418,>L
428223,428223,BW>[,653630,>L
428230,428230,CWB[,653655,>L
428253,428253,>MR[,653733,>L
428284,428284,>MR[,653825,>L
428313,428313,>MR[,653915,>L
428505,428505,>MR[,654513,>L
428547,428547,>MR[,654646,>L
428603,428603,>MR[,654834,>L
428625,428625,>MR[,654907,>L
428649,428649,XBR[,654975,>L
428661,428661,BW>[,655010,>L
428707,428707,>MR[,655143,>L
428710,428710,>MR[,655154,>L
428754,428754,>MR[,655273,>L
428763,428763,>MR[,655292,>L
428785,428785,BW>[,655365,>L
428803,428803,>MR[,655421,>L
428806,428806,BW>[,655429,>L
428812,428812,BW>[,655453,>L
428817,428817,>MR[,655467,>L
428824,428824,>MR[,655487,>L
428838,428838,CWB[,655525,>L
428847,428847,CM<[,655556,>L
428867,428867,>MR[,655619,>L
428889,428889,>MR[,655695,>L
428904,428904,>MR[,655747,>L
428919,428919,>MR[,655794,>L
428974,428974,RWY[,655964,>L
428976,428976,NTN[,655972,>L
428984,428984,>MR[,655994,>L
428989,428989,CWB[,656005,>L
429002,429002,>MR[,656042,>L
429008,429008,CWB[,656059,>L
429040,429040,BW>[,656143,>L
429112,429112,SWR[,656352,>L
429121,429121,SWR[,656375,>L
429122,429122,BW>[,656378,>L
429128,429128,QR>[,656396,>L
429131,429131,BW>[,656404,>L
429162,429162,>MR[,656500,>L
429196,429196,>MR[,656594,>L
429213,429213,>MR[,656644,>L
429246,429246,>MR[,656750,>L
429261,429261,>MR[,656794,>L
429283,429283,>MR[,656867,>L
429287,429287,BW>[,656879,>L
429292,429292,QRB[,656897,>L
429301,429301,>MR[,656921,>L
429307,429307,NG<[,656940,>L
429328,429328,>MR[,657006,>L
429395,429395,>MR[,657225,>L
429398,429398,>MR[,657233,>L
429405,429405,NTN[,657258,>L
429421,429421,QR>[,657305,>L
429426,429426,CM<[,657318,>L
429444,429444,>MR[,657375,>L
429467,429467,>MR[,657451,>L
429478,429478,CWB[,657487,>L
429484,429484,>MR[,657510,>L
429491,429491,HLK[,657525,>L
429493,429493,>MR[,657533,>L
429499,429499,HLK[,657552,>L
429504,429504,>MR[,657569,>L
429508,429508,CWB[,657582,>L
429513,429513,>MR[,657601,>L
429526,429526,BW>[,657630,>L
429535,429535,QR>[,657662,>L
429557,429557,QR>[,657730,>L
429570,429570,CWB[,657770,>L
429572,429572,HLK[,657776,>L
429646,429646,CM<[,657974,>L
429663,429663,>MR[,658034,>L
429670,429670,HLK[,658058,>L
429672,429672,>MR[,658066,>L
429677,429677,>MR[,658085,>L
429698,429698,HLK[,658154,>L
429710,429710,>MR[,658187,>L
429749,429749,RWY[,658282,>L
429768,429768,>MR[,658331,>L
429771,429771,>MR[,658339,>L
429792,429792,BW>[,658398,>L
429824,429824,HLK[,658488,>L
429826,429826,>MR[,658496,>L
429828,429828,>MR[,658504,>L
429834,429834,BW>[,658525,>L
429837,429837,BW>[,658538,>L
429847,429847,>MR[,658563,>L
429849,429849,>MR[,658570,>L
429860,429860,>MR[,658601,>L
429914,429914,>MR[,658747,>L
429923,429923,>MR[,658771,>L
429950,429950,>MR[,658847,>L
430054,430054,>MR[,659156,>L
430081,430081,>MR[,659241,>L
430112,430112,>MR[,659336,>L
430135,430135,>MR[,659409,>L
430178,430178,>MR[,659552,>L
430179,430179,BW>[,659556,>L
430217,430217,>MR[,659673,>L
430219,430219,>MR[,659677,>L
430239,430239,>MR[,659731,>L
430252,430252,HLK[,659763,>L
430259,430259,>MR[,659787,>L
430283,430283,BW>[,659858,>L
430290,430290,>MR[,659871,>L
430298,430298,>MR[,659890,>L
430304,430304,>MR[,659904,>L
430310,430310,NGC[,659919,>L
430330,430330,>MR[,659970,>L
430400,430400,>MR[,660166,>L
430409,430409,>MR[,660185,>L
430425,430425,>MR[,660234,>L
430441,430441,>MR[,660278,>L
430445,430445,QR>[,660294,>L
430470,430470,CM<[,660372,>L
430474,430474,HLK[,660386,>L
430531,430531,CWB[,660564,>L
430623,430623,>MR[,660840,>L
430626,430626,BW>[,660848,>L
430632,430632,BW>[,660868,>L
430637,430637,>MR[,660885,>L
430689,430689,>MR[,661057,>L
430699,430699,BW>[,661084,>L
430703,430703,BW>[,661099,>L
430734,430734,>MR[,661204,>L
430746,430746,BW>[,661238,>L
430749,430749,CM<[,661252,>L
430766,430766,CM<[,661312,>L
430777,430777,>MR[,661345,>L
430779,430779,HLK[,661349,>L
430785,430785,>MR[,661366,>L
430792,430792,>MR[,661387,>L
430838,430838,JXM[,661520,>L
430862,430862,>MR[,661601,>L
430863,430863,CWB[,661603,>L
430891,430891,>MR[,661698,>L
430907,430907,CWB[,661741,>L
430919,430919,>MR[,661777,>L
430925,430925,BW>[,661796,final_h
430943,430943,BW>[,661854,>L
430965,430965,>MR[,661923,>L
430994,430994,>MR[,662007,>L
431032,431032,>MR[,662119,>L
431106,431106,CWB[,662346,>L
431108,431108,BW>[,662349,>L
431117,431117,BW>[,662375,>L
431143,431143,>MR[,662453,>L
431194,431194,>MR[,662589,>L
431275,431275,>MR[,662818,>L
431284,431284,BW>[,662847,final_h
431314,431314,>MR[,662947,>L
431322,431322,JY>[,662971,>L
431344,431344,>MR[,663036,>L
431347,431347,>MR[,663043,>L
431350,431350,>MR[,663053,>L
431355,431355,>MR[,663071,>L
431368,431368,CM<[,663113,>L
431377,431377,BW>[,663140,>L
431397,431397,CM<[,663195,>L
431418,431418,>MR[,663256,>L
431427,431427,>MR[,663281,>L
431434,431434,>MR[,663301,>L
431528,431528,BW>[,663589,>L
431548,431548,HLK[,663653,>L
431655,431655,>MR[,663955,>L
431684,431684,>MR[,664056,>L
431713,431713,QRB[,664134,>L
431731,431731,>MR[,664176,>L
431739,431739,BW>[,664201,>L
431754,431754,>MR[,664244,>L
431769,431769,CWB[,664290,>L
431772,431772,CWB[,664301,>L
431801,431801,JRD[,664371,>L
431812,431812,BW>[,664409,>L
431829,431829,BW>[,664465,>L
431835,431835,BW>[,664485,>L
431870,431870,BW>[,664589,>L
431875,431875,BW>[,664603,>L
431888,431888,BW>[,664633,>L
431903,431903,CWB[,664675,>L
431922,431922,CLX[,664727,>L
431986,431986,>MR[,664921,>L
431999,431999,CM<[,664965,>L
432022,432022,BW>[,665021,>L
432033,432033,BW>[,665050,>L
432036,432036,BW>[,665057,>L
432078,432078,BW>[,665193,>L
432085,432085,>MR[,665215,>L
432088,432088,>MR[,665223,>L
432121,432121,>MR[,665332,>L
432190,432190,BW>[,665554,>L
432191,432191,>MR[,665558,>L
432210,432210,BW>[,665614,>L
432212,432212,BW>[,665620,>L
432220,432220,>MR[,665647,>L
432223,432223,>MR[,665655,>L
432267,432267,>MR[,665785,>L
432270,432270,>MR[,665796,>L
432276,432276,>MR[,665816,>L
432288,432288,>MR[,665855,>L
432325,432325,HLK[,665986,>L
432367,432367,>MR[,666110,>L
432376,432376,>MR[,666135,>L
432380,432380,>MR[,666143,>L
432389,432389,>MR[,666162,>L
432400,432400,>MR[,666185,>L
432419,432419,>MR[,666235,>L
432437,432437,BW>[,666287,>L
432440,432440,>MR[,666297,>L
432451,432451,CWB[,666326,>L
432467,432467,>MR[,666382,>L
432475,432475,BW>[,666403,final_h
432482,432482,>MR[,666423,>L
432491,432491,>MR[,666442,>L
432508,432508,>MR[,666494,>L
432516,432516,>MR[,666512,>L
432534,432534,>MR[,666567,>L
432537,432537,>MR[,666575,>L
432548,432548,>MR[,666608,>L
432564,432564,>MR[,666656,>L
432577,432577,>MR[,666694,>L
432588,432588,CWB[,666728,>L
432618,432618,NGC[,666821,>L
432626,432626,BW>[,666841,>L
432639,432639,BW>[,666880,>L
432667,432667,>MR[,666964,>L
432718,432718,>MR[,667096,>L
432727,432727,>MR[,667124,>L
432781,432781,<LH[,667275,>L
432782,432782,NGC[,667278,>L
432791,432791,>MR[,667307,>L
432796,432796,>MR[,667324,>L
432799,432799,>MR[,667333,>L
432804,432804,>MR[,667346,>L
432809,432809,<LH[,667360,>L
432823,432823,>MR[,667395,>L
432850,432850,<LH[,667482,>L
432865,432865,>MR[,667528,>L
432871,432871,>MR[,667547,>L
432872,432872,NGC[,667550,>L
432894,432894,<LH[,667618,>L
432895,432895,>MR[,667621,>L
432898,432898,JRD[,667629,>L
432924,432924,>MR[,667708,>L
432925,432925,>MR[,667710,>L
432931,432931,BW>[,667724,>L
432952,432952,>MR[,667793,>L
433052,433052,>MR[,668087,>L
433056,433056,>MR[,668098,>L
433059,433059,>MR[,668105,>L
433060,433060,BW>[,668110,>L
433083,433083,>MR[,668172,>L
433085,433085,>MR[,668177,>L
433087,433087,>MR[,668182,>L
433095,433095,>MR[,668205,>L
433097,433097,BW>[,668209,>L
433109,433109,>MR[,668244,>L
433111,433111,>MR[,668250,>L
433129,433129,BW>[,668318,>L
433142,433142,BW>[,668362,>L
433167,433167,>MR[,668448,>L
433215,433215,>MR[,668605,>L
433218,433218,>MR[,668615,>L
433241,433241,>MR[,668683,>L
433253,433253,>MR[,668718,>L
433285,433285,>MR[,668821,>L
433305,433305,>MR[,668872,>L
433311,433311,QR>[,668897,>L
433319,433319,CM<[,668914,>L
433419,433419,>MR[,669153,>L
433512,433512,>MR[,669430,>L
433528,433528,>MR[,669482,>L
433556,433556,>MR[,669569,>L
433595,433595,>MR[,669689,>L
433598,433598,BW>[,669699,>L
433639,433639,>MR[,669818,>L
433661,433661,JY>[,669886,>L
433699,433699,BW>[,669989,>L
433708,433708,>MR[,670011,>L
433724,433724,<LH[,670058,>L
433731,433731,BW>[,670086,>L
433745,433745,QR>[,670125,>L
433770,433770,BW>[,670191,>L
433777,433777,>MR[,670213,>L
433779,433779,HLK[,670218,>L
433787,433787,>MR[,670245,>L
433794,433794,>MR[,670267,>L
433801,433801,>MR[,670283,>L
433802,433802,>MR[,670286,>L
433808,433808,>MR[,670303,>L
433817,433817,BW>[,670329,>L
433818,433818,>MR[,670332,>L
433845,433845,>MR[,670415,>L
433854,433854,>MR[,670439,>L
433886,433886,>MR[,670539,>L
433891,433891,>MR[,670556,>L
433926,433926,CWB[,670658,>L
433929,433929,CWB[,670666,>L
433935,433935,>MR[,670683,>L
433944,433944,>MR[,670712,>L
433952,433952,>MR[,670734,>L
433955,433955,>MR[,670742,>L
433974,433974,>MR[,670790,>L
433995,433995,>MR[,670853,>L
434010,434010,>MR[,670897,>L
434037,434037,>MR[,670973,>L
434057,434057,Y<Q[,671031,>L
434083,434083,>MR[,671095,>L
434089,434089,CWB[,671112,>L
434094,434094,BW>[,671124,>L
434098,434098,>MR[,671137,>L
434104,434104,>MR[,671156,>L
434132,434132,CM<[,671250,>L
434141,434141,CM<[,671273,>L
434188,434188,CM<[,671415,>L
434189,434189,>MR[,671420,>L
434199,434199,CM<[,671453,>L
434212,434212,>MR[,671497,>L
434217,434217,>MR[,671509,>L
434221,434221,BW>[,671520,>L
434233,434233,CM<[,671561,>L
434235,434235,>MR[,671568,>L
434239,434239,HLK[,671575,>L
434245,434245,>MR[,671593,>L
434265,434265,>MR[,671645,>L
434266,434266,>MR[,671647,>L
434286,434286,CM<[,671713,>L
434289,434289,BW>[,671722,>L
434297,434297,>MR[,671748,>L
434298,434298,BW>[,671750,>L
434299,434299,>MR[,671753,>L
434310,434310,>MR[,671787,>L
434311,434311,>MR[,671789,>L
434339,434339,Y<Q[,671874,>L
434348,434348,CM<[,671906,>L
434350,434350,>MR[,671913,>L
434351,434351,>MR[,671915,>L
434364,434364,>MR[,671961,>L
434367,434367,CM<[,671970,>L
434369,434369,>MR[,671977,>L
434373,434373,>MR[,671988,>L
434392,434392,QR>[,672051,>L
434406,434406,>MR[,672086,>L
434422,434422,<TR[,672133,>L
434428,434428,>MR[,672157,>L
434429,434429,BW>[,672159,>L
434454,434454,>MR[,672237,>L
434469,434469,CM<[,672293,>L
434471,434471,>MR[,672301,>L
434474,434474,>MR[,672309,>L
434508,434508,>MR[,672409,>L
434527,434527,>MR[,672481,>L
434537,434537,>MR[,672504,>L
434564,434564,>MR[,672590,>L
434565,434565,BW>[,672592,>L
434574,434574,BW>[,672620,>L
434575,434575,>MR[,672623,>L
434596,434596,>MR[,672687,>L
434603,434603,>MR[,672710,>L
434612,434612,>MR[,672729,>L
434623,434623,>MR[,672760,>L
434651,434651,<TR[,672856,>L
434658,434658,>MR[,672882,>L
434669,434669,QR>[,672921,>L
434699,434699,>MR[,673001,>L
434723,434723,JRD[,673083,>L
434730,434730,>MR[,673102,>L
434731,434731,CM<[,673105,>L
434736,434736,>MR[,673127,>L
434806,434806,>MR[,673372,>L
434822,434822,BW>[,673421,>L
434826,434826,BW>[,673433,>L
434831,434831,>MR[,673447,>L
434896,434896,>MR[,673635,>L
434926,434926,>MR[,673731,>L
434966,434966,>MR[,673864,>L
435038,435038,Y<Q[,674093,>L
435039,435039,>MR[,674096,>L
435053,435053,>MR[,674134,>L
435063,435063,>MR[,674164,>L
435086,435086,QRB[,674236,>L
435103,435103,>MR[,674304,>L
435207,435207,JY>[,674583,>L
435218,435218,Y<Q[,674617,>L
435237,435237,BW>[,674678,>L
435241,435241,>MR[,674691,>L
435248,435248,>MR[,674713,>L
435260,435260,>MR[,674748,>L
435281,435281,>MR[,674802,>L
435282,435282,>MR[,674804,>L
435287,435287,PNH[,674817,>L
435313,435313,>MR[,674885,>L
435334,435334,>MR[,674938,>L
435337,435337,CM<[,674947,>L
435350,435350,>MR[,674986,>L
435374,435374,>MR[,675055,>L
435394,435394,>MR[,675121,>L
435422,435422,Y<Q[,675212,>L
435427,435427,>MR[,675224,>L
435446,435446,>MR[,675286,>L
435472,435472,>MR[,675365,>L
435494,435494,BW>[,675436,>L
435496,435496,>MR[,675444,>L
435538,435538,BW>[,675578,>L
435541,435541,BW>[,675587,>L
435544,435544,>MR[,675597,>L
435584,435584,HLK[,675724,>L
435591,435591,<LH[,675749,>L
435592,435592,QR>[,675752,>L
435617,435617,>MR[,675834,>L
435623,435623,>MR[,675857,>L
435624,435624,HLK[,675859,>L
435647,435647,>MR[,675928,>L
435649,435649,NGC[,675934,>L
435672,435672,>MR[,676005,>L
435675,435675,HRS[,676011,>L
435681,435681,>MR[,676030,>L
435683,435683,<LH[,676035,>L
435688,435688,>MR[,676047,>L
435693,435693,<LH[,676059,>L
