,clause,verb,phrase,cmpl_type,cmpl_func
437878,437878,SMK[,682797,<L,DIR
437883,437883,ZRQ[,682814,<L,DIR
437887,437887,NTN[,682829,<L,DIR
437888,437888,<RK[,682833,<L,DIR
437889,437889,<RK[,682838,<L,DIR
437900,437900,ZRQ[,682871,<L,DIR
437902,437902,<RK[,682881,<L,DIR
437927,437927,JYQ[,682962,<L,DIR
437928,437928,NTN[,682966,<L,DIR
437946,437946,JYQ[,683013,<L,DIR
437972,437972,NTN[,683098,<L,DIR
437973,437973,FJM[,683102,<L,DIR
437982,437982,SMK[,683130,<L,DIR
437984,437984,ZRQ[,683138,<L,DIR
438001,438001,SMK[,683191,<L,DIR
438003,438003,ZRQ[,683200,<L,DIR
438017,438017,SMK[,683241,<L,DIR
438019,438019,ZRQ[,683250,<L,DIR
438046,438046,SMK[,683323,<L,DIR
438076,438076,XV>[,683422,<L,-
438079,438079,SMK[,683436,<L,DIR
438107,438107,SMK[,683532,<L,DIR
438112,438112,NTN[,683550,<L,DIR
438125,438125,SMK[,683596,<L,DIR
438128,438128,NTN[,683608,<L,DIR
438137,438137,SMK[,683642,<L,DIR
438141,438141,NTN[,683658,<L,DIR
438180,438180,XV>[,683766,<L,-
438205,438205,FJM[,683856,<L,DIR
438206,438206,NTN[,683861,<L,DIR
438284,438284,LBC[,684097,<L,DIR
438349,438349,NZH[,684281,<L,DIR
438350,438350,NZH[,684284,<L,DIR
438367,438367,ZRQ[,684333,<L,DIR
438505,438505,NTN[,684719,<L,DIR
438508,438508,NTN[,684731,<L,DIR
438511,438511,FJM[,684743,<L,DIR
438513,438513,FJM[,684752,<L,DIR
438514,438514,FJM[,684755,<L,DIR
438532,438532,SMK[,684816,<L,DIR
438535,438535,NTN[,684825,<L,DIR
438546,438546,SMK[,684864,<L,DIR
438548,438548,ZRQ[,684871,<L,DIR
438557,438557,SMK[,684907,<L,DIR
438560,438560,NTN[,684916,<L,DIR
438563,438563,ZRQ[,684929,<L,DIR
438568,438568,FJM[,684944,<L,DIR
438569,438569,NTN[,684948,<L,DIR
438639,438639,NTN[,685163,<L,DIR
438646,438646,ZRQ[,685191,<L,DIR
438664,438664,ZRQ[,685251,<L,DIR
438666,438666,FJM[,685259,<L,DIR
438682,438682,NPL[,685312,<L,DIR
438685,438685,FJM[,685323,<L,DIR
438710,438710,QYP[,685398,<L,-
438743,438743,QYP[,685506,<L,-
438862,438862,NPL[,685836,<L,DIR
438874,438874,BW>[,685870,<L,DIR
438878,438878,NPL[,685884,<L,DIR
438885,438885,NPL[,685905,<L,DIR
438889,438889,NPL[,685918,<L,DIR
438950,438950,JCB[,686090,<L,-
439155,439155,<VH[,686743,<L,?
439256,439256,NTN[,687046,<L,DIR
439258,439258,JYQ[,687053,<L,DIR
439264,439264,NTN[,687082,<L,DIR
439291,439291,NTN[,687173,<L,DIR
439297,439297,NTN[,687203,<L,DIR
439399,439399,CKB[,687515,<L,LOC
439401,439401,JCB[,687522,<L,LOC
439408,439408,JCB[,687543,<L,LOC
439420,439420,RKB[,687583,<L,LOC
439468,439468,CKB[,687746,<L,LOC
439470,439470,JCB[,687753,<L,LOC
439477,439477,JCB[,687775,<L,LOC
439489,439489,CKB[,687815,<L,LOC
439496,439496,CKB[,687836,<L,LOC
439498,439498,JCB[,687845,<L,LOC
439548,439548,NTN[,688012,<L,DIR
439552,439552,<LH[,688025,<L,-
439555,439555,<LH[,688034,<L,-
439566,439566,NTN[,688071,<L,DIR
439592,439592,NTN[,688154,<L,DIR
439599,439599,SMK[,688178,<L,DIR
439601,439601,NTN[,688186,<L,DIR
439669,439669,ZRQ[,688408,<L,DIR
439689,439689,NTN[,688476,<L,DIR
439795,439795,PQD[,688768,<L,-
439869,439869,<MD[,688989,<L,-
439873,439873,NF>[,689002,<L,-
439881,439881,<LH[,689030,<L,DIR
439906,439906,>KL[,689112,<L,-
440107,440107,BW>[,689704,<L,DIR
440186,440186,NF>[,689928,<L,-
440208,440208,JSP[,689999,<L,DIR
440402,440402,<RK[,690585,<L,DIR
440406,440406,FJM[,690606,<L,DIR
440408,440408,NTN[,690610,<L,DIR
440429,440429,SMK[,690677,<L,DIR
440526,440526,JCB[,690967,<L,LOC
440529,440529,JCB[,690979,<L,LOC
440732,440732,JSP[,691662,<L,DIR
440760,440760,NTN[,691771,<L,DIR
440766,440766,CMM[,691793,<L,-
440870,440870,JSP[,692139,<L,DIR
440877,440877,JSP[,692164,<L,DIR
440889,440889,JSP[,692213,<L,DIR
440915,440915,JSP[,692297,<L,DIR
441177,441177,XNH[,692979,final_h,LOC
441188,441188,XNH[,693004,final_h,LOC
441235,441235,NTN[,693149,<L,DIR
441238,441238,PRF[,693159,<L,DIR
441239,441239,NTN[,693164,<L,DIR
441241,441241,PRF[,693172,<L,DIR
441248,441248,NTN[,693197,<L,DIR
441249,441249,PRF[,693199,<L,DIR
441256,441256,NTN[,693225,<L,DIR
441258,441258,PRF[,693231,<L,DIR
441259,441259,NTN[,693235,<L,DIR
441261,441261,PRF[,693243,<L,DIR
441400,441400,<BR[,693634,<L,-
441403,441403,<BR[,693644,<L,-
441408,441408,JYQ[,693664,<L,DIR
441409,441409,NTN[,693669,<L,DIR
441421,441421,NTN[,693709,<L,DIR
441469,441469,<BR[,693880,<L,-
441489,441489,<BR[,693944,<L,?
441494,441494,BW>[,693957,<L,DIR
441500,441500,MWT[,693976,<L,LOC
441508,441508,XV>[,694007,<L,-
441533,441533,NTN[,694085,<L,DIR
441538,441538,NTN[,694100,<L,DIR
441560,441560,FJM[,694168,<L,-
441782,441782,SMK[,694720,<L,DIR
441786,441786,SMK[,694736,<L,DIR
441899,441899,CKN[,695109,<L,LOC
441916,441916,CKN[,695160,<L,LOC
442051,442051,JRD[,695573,<L,DIR
442052,442052,JRD[,695569,<L,DIR
442061,442061,FJM[,695604,<L,-
442070,442070,BKH[,695632,<L,-
442091,442091,FJM[,695699,<L,-
442139,442139,NTN[,695844,<L,-
442141,442141,NWX[,695848,<L,-
442147,442147,NWX[,695866,<L,-
442163,442163,NTN[,695913,<L,-
442167,442167,NVC[,695928,<L,DIR
442220,442220,CJT[,696096,<L,-
442368,442368,NPL[,696531,<L,DIR
442631,442631,NTN[,697355,<L,DIR
442656,442656,NPL[,697430,<L,DIR
442670,442670,FJM[,697464,<L,DIR
442713,442713,NTN[,697586,<L,DIR
442717,442717,NTN[,697603,<L,?
442718,442718,FJM[,697607,<L,DIR
442727,442727,NPL[,697637,<L,DIR
442731,442731,QYP[,697644,<L,-
442817,442817,NPL[,697899,<L,DIR
442820,442820,NTN[,697908,<L,-
442844,442844,KTB[,697987,<L,LOC
442845,442845,KTB[,697991,<L,LOC
442943,442943,ZRQ[,698292,<L,DIR
